,roundearnings,roundbonus,totalcompensation,finaldollarcompensation
1,27.51,0,[],[]
2,16.09,0,[],[]
3,9.2,0,[],[]
4,32.11,0,[],[]
5,[],[],84.91,0.7641899999999999
