,subID,riskyGain,riskyLoss,safe,RT,round_earnings,curr_goal,curr_bonus,loc,response,choice,outcome,iti,itiExtra,cond,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM,roundColor,ischecktrial
1,006,19.28,0.0,8.36,1.1986319159623235,19.28,420.79,25,1,"[['v', 1.1986319159623235]]",1,19.28,1.25,2.8013680840376765,1,0.015372083056718111,[],1.2203465410275385,1.7267525000497699,2.728082208079286,0,1,2,0
2,006,22.97,0.0,6.51,1.3715184159809723,19.28,420.79,25,2,"[['n', 1.3715184159809723]]",1,0.0,1.25,2.6284815840190277,1,6.774236375000328,[],8.15169525006786,8.656378958025016,9.657495916006155,1,1,2,0
3,006,10.55,0.0,6.73,1.6217569999862462,0.0,349.85,25,2,"[['n', 1.6217569999862462]]",1,0.0,1.25,2.3782430000137538,0,0.014728124951943755,[],1.6479966660263017,2.152711333008483,3.1538192079169676,0,2,1,0
4,006,10.68,0.0,10.68,1.504074624972418,10.68,349.85,25,1,"[['n', 1.504074624972418]]",0,10.68,1.25,2.495925375027582,0,6.78140345797874,[],8.29174245800823,8.797988082980737,9.799069540924393,1,2,1,1
5,006,12.08,0.0,5.96,1.6157528749899939,5.96,349.85,100,1,"[['n', 1.6157528749899939]]",0,5.96,1.25,2.384247125010006,2,0.013619958073832095,[],1.635469250031747,2.1430634580319747,3.1441315000411123,0,3,0,0
6,006,17.94,0.0,9.03,1.229574208962731,5.96,349.85,100,2,"[['n', 1.229574208962731]]",1,0.0,1.25,2.770425791037269,2,6.782326791086234,[],8.017985750106163,8.522606500075199,9.523784916033037,1,3,0,0
7,006,16.0,0.0,4.0,1.0175638750661165,0.0,420.79,100,2,"[['n', 1.0175638750661165]]",1,0.0,0.75,2.9824361249338835,3,0.013442708062939346,[],1.0356022500200197,1.5414078750181943,2.5425645409850404,0,4,3,0
8,006,20.03,0.0,1.99,1.3082987079396844,0.0,420.79,100,1,"[['v', 1.3082987079396844]]",1,0.0,0.75,2.6917012920603156,3,6.274126208038069,[],7.588586249970831,8.093293208046816,9.094426832976751,1,4,3,0
