digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,fixation.stopped,presentation_text.started,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.228523624988156,47.22840737499064,47.22840737499064,48.228612999999314,"[3, 9, 7, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,2,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.228612999999314,49.22847316598927,49.211817749994225,50.2116343749949,"[3, 9, 7, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,2,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2116343749949,51.211941332992865,51.211941332992865,52.21187812498829,"[3, 9, 7, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,2,,,,,,,,,0,1,1,1,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.21187812498829,53.211950665994664,53.211950665994664,54.21209058299428,"[3, 9, 7, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,2,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,54.21209058299428,54.21209058299428,54.21209058299428,-0.000640833008219488,3975,0.025555555555555557,-0.4066666666666667,1,0,0,cont_button,57.24547354099923,58.24618787498912,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.24618787498912,59.246365207989584,59.2287421660003,60.22936408298847,"[4, 7, 8, 6, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.22936408298847,61.22892879099527,61.22892879099527,62.229509249998955,"[4, 7, 8, 6, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.229509249998955,63.2290955829958,63.2290955829958,64.22988595798961,"[4, 7, 8, 6, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.22988595798961,65.22923933299899,65.22923933299899,66.22929854100221,"[4, 7, 8, 6, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.22929854100221,67.22939720799332,67.22939720799332,68.22926474999986,"[4, 7, 8, 6, 9]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,3,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,68.22926474999986,68.22926474999986,68.22926474999986,-0.0006625420064665377,47869,-0.0011111111111111111,-0.4222222222222222,1,0,0,cont_button,71.82921416599129,72.82963212499453,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.82963212499453,73.82949725000071,73.8128674999898,74.81351229100255,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.81351229100255,75.81297579099191,75.81297579099191,76.81301499999245,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.81301499999245,77.81323462499131,77.81323462499131,78.81305466599588,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.81305466599588,79.81338649999816,79.81338649999816,80.81314387499879,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.81314387499879,81.81303183299315,81.81303183299315,82.81323674999294,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.81323674999294,83.81311099999584,83.81311099999584,84.81324062499334,"[2, 8, 4, 9, 1, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,4,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,84.81324062499334,84.81324062499334,84.81324062499334,-0.0003296249924460426,284917,-0.0011111111111111111,-0.39222222222222225,1,0,0,cont_button,88.96327741599816,89.96364308299962,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.96364308299962,90.96364016599546,90.94733279099455,91.94668820800143,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94668820800143,92.94685008299712,92.94685008299712,93.94704145799915,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.94704145799915,94.9469933329965,94.9469933329965,95.94707937499334,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.94707937499334,96.9465024999954,96.9465024999954,97.94794949999778,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
,,,5,,,,,,,,,0,4,4,4,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.94794949999778,98.94704937499773,98.94704937499773,99.9470731249894,"[3, 6, 7, 2, 5, 4, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_18h07.14.909,CGTriskyDMtask,2022.2.1,59.978962382841445,
