digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,participant,date,expName,psychopyVersion,frameRate,
,,,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,98.92890858399915,98.92890858399915,98.92890858399915,0.007501916988985613,435,0.015555555555555555,-0.3711111111111111,1,0,0,cont_button,103.71248470900173,104.71257800000603,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,2,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.71257800000603,105.69602658400254,105.71268716700433,106.69740129199636,"[9, 1, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,2,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.69740129199636,107.69612995900388,107.7128605839971,108.69623616700119,"[9, 1, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,2,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.69623616700119,109.69660712500627,109.69660712500627,110.69593104200612,"[9, 1, 3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,2,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,110.69593104200612,110.69593104200612,110.69593104200612,-0.0009137919987551868,67890,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,113.04657337500248,114.04625349999696,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,3,,,,,,,,,0,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.04625349999696,115.03054729200085,115.04707829200197,116.02981791700586,"[8, 1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,3,,,,,,,,,0,2,2,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.02981791700586,117.04630295900279,117.03006558399647,118.04681887499464,"[8, 1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,3,,,,,,,,,0,2,2,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.04681887499464,119.02988099999493,119.04663850000361,120.03106845900766,"[8, 1, 2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,3,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,120.03106845900766,120.03106845900766,120.03106845900766,0.0003285410057287663,45678,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,122.77992729199468,123.77995150000788,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,4,,,,,,,,,0,3,3,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.77995150000788,124.76356537500396,124.77996983399498,125.7640612499963,"[7, 8, 6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
