,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,16.0,0.5,0.75,16.24,0.0,1.12
1.0,5.0,1.0,16.0,0.5,1.25,13.33,0.0,3.99
2.0,5.0,1.0,16.0,0.5,1.25,3.04,0.0,7.52
3.0,5.0,1.0,16.0,0.5,1.25,3.1,0.0,8.55
4.0,5.0,1.0,16.0,0.5,0.75,3.04,0.0,7.52
5.0,5.0,1.0,16.0,0.5,1.75,10.95,0.0,3.65
6.0,5.0,1.0,16.0,0.5,1.75,18.86,0.0,1.43
7.0,5.0,1.0,16.0,0.5,0.75,9.62,0.0,4.67
8.0,5.0,1.0,16.0,0.5,0.75,10.95,0.0,3.65
9.0,5.0,1.0,16.0,0.5,0.75,9.62,0.0,4.67
10.0,5.0,1.0,16.0,0.5,1.25,19.12,0.0,0.0
11.0,5.0,1.0,16.0,0.5,0.75,14.2,0.0,3.86
12.0,5.0,1.0,16.0,0.5,1.25,12.91,0.0,4.34
13.0,5.0,1.0,16.0,0.5,1.25,11.05,0.0,4.26
14.0,5.0,1.0,16.0,0.5,0.75,18.86,0.0,1.43
15.0,5.0,1.0,16.0,0.5,0.75,9.39,0.0,5.96
16.0,15.0,2.0,16.0,0.5,0.75,28.67,0.0,15.88
17.0,15.0,2.0,16.0,0.5,1.25,22.34,0.0,19.17
18.0,15.0,2.0,16.0,0.5,1.75,34.58,0.0,12.29
19.0,15.0,2.0,16.0,0.5,1.25,23.88,0.0,17.94
20.0,15.0,2.0,16.0,0.5,1.75,29.68,0.0,15.54
21.0,15.0,2.0,16.0,0.5,1.75,27.75,0.0,15.7
22.0,15.0,2.0,16.0,0.5,1.25,29.06,0.0,14.95
23.0,15.0,2.0,16.0,0.5,1.75,33.29,0.0,14.25
24.0,15.0,2.0,16.0,0.5,0.75,30.1,0.0,14.91
25.0,15.0,2.0,16.0,0.5,1.25,33.2,0.0,13.64
26.0,15.0,2.0,16.0,0.5,0.75,32.71,0.0,14.53
27.0,15.0,2.0,16.0,0.5,1.25,29.06,0.0,14.95
28.0,15.0,2.0,16.0,0.5,1.25,21.56,0.0,19.78
29.0,15.0,2.0,16.0,0.5,1.75,33.29,0.0,14.25
30.0,15.0,2.0,16.0,0.5,0.75,33.28,0.0,12.64
31.0,15.0,2.0,16.0,0.5,0.75,32.21,0.0,13.99
32.0,25.0,3.0,16.0,0.5,0.75,40.02,0.0,29.01
33.0,25.0,3.0,16.0,0.5,0.75,50.54,0.0,24.57
34.0,25.0,3.0,16.0,0.5,0.75,49.94,0.0,25.11
35.0,25.0,3.0,16.0,0.5,0.75,47.4,0.0,27.22
36.0,25.0,3.0,16.0,0.5,0.75,49.65,0.0,25.81
37.0,25.0,3.0,16.0,0.5,0.75,49.13,0.0,26.11
38.0,25.0,3.0,16.0,0.5,0.75,48.93,0.0,25.73
39.0,25.0,3.0,16.0,0.5,0.75,54.3,0.0,23.35
40.0,25.0,3.0,16.0,0.5,1.75,52.59,0.0,23.62
41.0,25.0,3.0,16.0,0.5,1.75,54.16,0.0,23.56
42.0,25.0,3.0,16.0,0.5,1.75,47.39,0.0,26.09
43.0,25.0,3.0,16.0,0.5,0.75,48.93,0.0,25.73
44.0,25.0,3.0,16.0,0.5,1.25,49.66,0.0,25.53
45.0,25.0,3.0,16.0,0.5,0.75,54.16,0.0,23.56
46.0,25.0,3.0,16.0,0.5,0.75,52.18,0.0,23.13
47.0,25.0,3.0,16.0,0.5,0.75,40.02,0.0,29.01
48.0,15.0,2.0,5.0,0.5,0.75,28.79,0.0,15.66
49.0,15.0,2.0,5.0,0.5,0.75,30.28,0.0,14.72
50.0,15.0,2.0,5.0,0.5,0.75,21.56,0.0,19.78
51.0,15.0,2.0,5.0,0.5,0.75,32.21,0.0,13.99
52.0,15.0,2.0,5.0,0.5,0.75,26.64,0.0,17.32
53.0,5.0,1.0,5.0,0.5,0.75,19.18,0.0,0.59
54.0,5.0,1.0,5.0,0.5,1.25,8.07,0.0,5.86
55.0,5.0,1.0,5.0,0.5,0.75,9.39,0.0,5.96
56.0,5.0,1.0,5.0,0.5,1.75,8.9,0.0,4.87
57.0,5.0,1.0,5.0,0.5,1.75,8.83,0.0,5.4
58.0,25.0,3.0,5.0,0.5,0.75,50.54,0.0,24.57
59.0,25.0,3.0,5.0,0.5,1.75,50.73,0.0,24.1
60.0,25.0,3.0,5.0,0.5,0.75,52.59,0.0,23.62
61.0,25.0,3.0,5.0,0.5,0.75,54.16,0.0,23.56
62.0,25.0,3.0,5.0,0.5,0.75,53.76,0.0,22.88
63.0,5.0,1.0,16.0,0.5,1.25,12.17,0.0,3.69
64.0,5.0,1.0,16.0,0.5,1.25,7.18,0.0,7.11
65.0,5.0,1.0,16.0,0.5,0.75,11.29,0.0,4.1
66.0,5.0,1.0,16.0,0.5,1.25,13.12,0.0,3.04
67.0,5.0,1.0,16.0,0.5,0.75,12.91,0.0,4.34
68.0,5.0,1.0,16.0,0.5,0.75,1.08,0.0,8.54
69.0,5.0,1.0,16.0,0.5,0.75,7.44,0.0,6.96
70.0,5.0,1.0,16.0,0.5,0.75,11.29,0.0,4.1
71.0,5.0,1.0,16.0,0.5,0.75,1.08,0.0,9.54
72.0,5.0,1.0,16.0,0.5,0.75,12.91,0.0,4.34
73.0,5.0,1.0,16.0,0.5,1.25,8.39,0.0,5.74
74.0,5.0,1.0,16.0,0.5,0.75,13.33,0.0,3.99
75.0,5.0,1.0,16.0,0.5,1.25,18.86,0.0,1.43
76.0,5.0,1.0,16.0,0.5,0.75,16.24,0.0,1.12
77.0,5.0,1.0,16.0,0.5,1.75,14.96,0.0,3.48
78.0,5.0,1.0,16.0,0.5,0.75,7.55,0.0,6.17
79.0,15.0,2.0,16.0,0.5,0.75,34.58,0.0,12.29
80.0,15.0,2.0,16.0,0.5,0.75,33.2,0.0,13.64
81.0,15.0,2.0,16.0,0.5,1.75,30.1,0.0,14.91
82.0,15.0,2.0,16.0,0.5,1.25,31.33,0.0,14.4
83.0,15.0,2.0,16.0,0.5,1.25,30.28,0.0,14.72
84.0,15.0,2.0,16.0,0.5,0.75,28.49,0.0,16.36
85.0,15.0,2.0,16.0,0.5,1.25,26.14,0.0,16.59
86.0,15.0,2.0,16.0,0.5,0.75,33.28,0.0,12.64
87.0,15.0,2.0,16.0,0.5,1.25,39.68,0.0,0.0
88.0,15.0,2.0,16.0,0.5,0.75,33.2,0.0,13.64
89.0,15.0,2.0,16.0,0.5,0.75,31.33,0.0,14.68
90.0,15.0,2.0,16.0,0.5,0.75,22.34,0.0,19.17
91.0,15.0,2.0,16.0,0.5,0.75,27.52,0.0,16.72
92.0,15.0,2.0,16.0,0.5,1.75,24.1,0.0,17.05
93.0,15.0,2.0,16.0,0.5,1.25,22.34,0.0,19.17
94.0,15.0,2.0,16.0,0.5,0.75,32.31,0.0,14.61
95.0,25.0,3.0,16.0,0.5,1.25,54.3,0.0,23.35
96.0,25.0,3.0,16.0,0.5,0.75,58.94,0.0,20.47
97.0,25.0,3.0,16.0,0.5,1.25,50.67,0.0,23.79
98.0,25.0,3.0,16.0,0.5,1.25,53.76,0.0,22.88
99.0,25.0,3.0,16.0,0.5,0.75,43.42,0.0,28.71
100.0,25.0,3.0,16.0,0.5,1.25,47.89,0.0,25.77
101.0,25.0,3.0,16.0,0.5,1.75,47.39,0.0,26.09
102.0,25.0,3.0,16.0,0.5,1.25,43.42,0.0,28.71
103.0,25.0,3.0,16.0,0.5,1.25,56.1,0.0,22.05
104.0,25.0,3.0,16.0,0.5,1.75,56.1,0.0,22.05
105.0,25.0,3.0,16.0,0.5,1.75,48.29,0.0,26.82
106.0,25.0,3.0,16.0,0.5,1.25,39.48,0.0,29.74
107.0,25.0,3.0,16.0,0.5,0.75,58.94,0.0,20.47
108.0,25.0,3.0,16.0,0.5,0.75,48.29,0.0,26.82
109.0,25.0,3.0,16.0,0.5,1.75,53.76,0.0,22.88
110.0,25.0,3.0,16.0,0.5,0.75,56.38,0.0,21.19
111.0,15.0,2.0,5.0,0.5,1.25,33.2,0.0,13.64
112.0,15.0,2.0,5.0,0.5,0.75,29.06,0.0,14.95
113.0,15.0,2.0,5.0,0.5,1.25,32.31,0.0,14.61
114.0,15.0,2.0,5.0,0.5,0.75,31.33,0.0,14.68
115.0,15.0,2.0,5.0,0.5,1.25,23.0,0.0,18.5
116.0,5.0,1.0,5.0,0.5,1.75,14.58,0.0,2.29
117.0,5.0,1.0,5.0,0.5,0.75,11.29,0.0,4.1
118.0,5.0,1.0,5.0,0.5,0.75,5.72,0.0,6.66
119.0,5.0,1.0,5.0,0.5,1.75,12.86,0.0,2.63
120.0,5.0,1.0,5.0,0.5,1.25,19.18,0.0,0.59
121.0,25.0,3.0,5.0,0.5,0.75,51.83,0.0,23.52
122.0,25.0,3.0,5.0,0.5,1.75,49.94,0.0,25.11
123.0,25.0,3.0,5.0,0.5,1.25,56.38,0.0,0.0
124.0,25.0,3.0,5.0,0.5,1.75,58.94,0.0,20.47
125.0,25.0,3.0,5.0,0.5,1.75,47.26,0.0,26.87
126.0,5.0,1.0,5.0,0.5,1.75,14.2,0.0,3.86
127.0,5.0,1.0,5.0,0.5,1.25,19.12,0.0,0.0
128.0,5.0,1.0,5.0,0.5,1.25,4.84,0.0,7.42
129.0,5.0,1.0,5.0,0.5,0.75,8.07,0.0,5.86
130.0,5.0,1.0,5.0,0.5,1.75,11.34,0.0,4.97
