,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,5.0,0.5,0.75,48.55,0.0,26.67
1.0,25.0,3.0,5.0,0.5,1.25,50.63,0.0,24.05
2.0,25.0,3.0,5.0,0.5,1.25,49.17,0.0,26.41
3.0,25.0,3.0,5.0,0.5,0.75,50.6,0.0,24.88
4.0,25.0,3.0,5.0,0.5,0.75,58.06,0.0,20.03
5.0,5.0,1.0,5.0,0.5,0.75,19.3,0.0,0.65
6.0,5.0,1.0,5.0,0.5,1.75,12.31,0.0,3.76
7.0,5.0,1.0,5.0,0.5,0.75,16.14,0.0,2.07
8.0,5.0,1.0,5.0,0.5,0.75,12.41,0.0,4.38
9.0,5.0,1.0,5.0,0.5,1.25,13.38,0.0,2.69
10.0,25.0,3.0,16.0,0.5,1.75,53.08,0.0,23.58
11.0,25.0,3.0,16.0,0.5,0.75,48.45,0.0,26.34
12.0,25.0,3.0,16.0,0.5,0.75,45.02,0.0,26.51
13.0,25.0,3.0,16.0,0.5,1.75,51.85,0.0,24.94
14.0,25.0,3.0,16.0,0.5,1.75,59.1,0.0,19.55
15.0,25.0,3.0,16.0,0.5,0.75,49.17,0.0,26.41
16.0,25.0,3.0,16.0,0.5,1.75,53.72,0.0,23.62
17.0,25.0,3.0,16.0,0.5,0.75,59.1,0.0,19.55
18.0,25.0,3.0,16.0,0.5,1.75,50.6,0.0,24.88
19.0,25.0,3.0,16.0,0.5,1.25,46.88,0.0,26.68
20.0,25.0,3.0,16.0,0.5,0.75,48.45,0.0,26.34
21.0,25.0,3.0,16.0,0.5,0.75,48.99,0.0,26.04
22.0,25.0,3.0,16.0,0.5,0.75,49.46,0.0,25.43
23.0,25.0,3.0,16.0,0.5,1.75,52.91,0.0,24.06
24.0,25.0,3.0,16.0,0.5,0.75,52.03,0.0,23.9
25.0,25.0,3.0,16.0,0.5,0.75,52.91,0.0,24.06
26.0,15.0,2.0,5.0,0.5,1.25,39.92,0.0,9.96
27.0,15.0,2.0,5.0,0.5,1.25,32.71,0.0,13.68
28.0,15.0,2.0,5.0,0.5,1.75,34.46,0.0,13.71
29.0,15.0,2.0,5.0,0.5,0.75,33.32,0.0,12.66
30.0,15.0,2.0,5.0,0.5,0.75,27.89,0.0,16.62
31.0,5.0,1.0,16.0,0.5,1.75,16.14,0.0,2.07
32.0,5.0,1.0,16.0,0.5,0.75,19.3,0.0,0.65
33.0,5.0,1.0,16.0,0.5,1.25,5.88,0.0,6.94
34.0,5.0,1.0,16.0,0.5,1.75,4.54,0.0,7.27
35.0,5.0,1.0,16.0,0.5,0.75,11.23,0.0,4.63
36.0,5.0,1.0,16.0,0.5,1.25,1.04,0.0,8.52
37.0,5.0,1.0,16.0,0.5,1.25,14.08,0.0,2.04
38.0,5.0,1.0,16.0,0.5,1.25,14.12,0.0,3.54
39.0,5.0,1.0,16.0,0.5,1.25,9.42,0.0,5.41
40.0,5.0,1.0,16.0,0.5,0.75,10.5,0.0,5.11
41.0,5.0,1.0,16.0,0.5,0.75,13.78,0.0,3.93
42.0,5.0,1.0,16.0,0.5,1.75,1.08,0.0,9.54
43.0,5.0,1.0,16.0,0.5,1.25,7.33,0.0,6.06
44.0,5.0,1.0,16.0,0.5,1.25,14.08,0.0,2.04
45.0,5.0,1.0,16.0,0.5,0.75,19.18,0.0,0.0
46.0,5.0,1.0,16.0,0.5,1.25,13.38,0.0,2.69
47.0,15.0,2.0,16.0,0.5,0.75,31.19,0.0,13.48
48.0,15.0,2.0,16.0,0.5,0.75,33.32,0.0,12.66
49.0,15.0,2.0,16.0,0.5,1.25,25.94,0.0,16.49
50.0,15.0,2.0,16.0,0.5,0.75,25.06,0.0,17.53
51.0,15.0,2.0,16.0,0.5,1.25,31.22,0.0,14.91
52.0,15.0,2.0,16.0,0.5,1.25,28.83,0.0,16.53
