,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,5.0,0.5,1.75,30.95,0.0,14.49
1.0,15.0,2.0,5.0,0.5,0.75,31.49,0.0,13.35
2.0,15.0,2.0,5.0,0.5,0.75,21.9,0.0,18.95
3.0,15.0,2.0,5.0,0.5,1.25,34.34,0.0,12.17
4.0,15.0,2.0,5.0,0.5,0.75,23.52,0.0,17.76
5.0,25.0,3.0,5.0,0.5,1.75,55.88,0.0,21.94
6.0,25.0,3.0,5.0,0.5,0.75,51.5,0.0,25.05
7.0,25.0,3.0,5.0,0.5,1.25,51.69,0.0,24.3
8.0,25.0,3.0,5.0,0.5,1.75,47.46,0.0,26.97
9.0,25.0,3.0,5.0,0.5,0.75,52.48,0.0,23.0
10.0,15.0,2.0,16.0,0.5,1.75,30.95,0.0,14.49
11.0,15.0,2.0,16.0,0.5,1.75,20.08,0.0,19.04
12.0,15.0,2.0,16.0,0.5,1.25,27.29,0.0,16.04
13.0,15.0,2.0,16.0,0.5,1.25,31.01,0.0,13.68
14.0,15.0,2.0,16.0,0.5,0.75,26.82,0.0,16.37
15.0,15.0,2.0,16.0,0.5,0.75,29.68,0.0,15.26
16.0,15.0,2.0,16.0,0.5,0.75,30.63,0.0,14.05
17.0,15.0,2.0,16.0,0.5,1.25,31.52,0.0,15.06
18.0,15.0,2.0,16.0,0.5,1.25,23.52,0.0,17.76
19.0,15.0,2.0,16.0,0.5,1.25,38.22,0.0,11.11
20.0,15.0,2.0,16.0,0.5,0.75,39.02,0.0,10.51
21.0,15.0,2.0,16.0,0.5,1.75,26.04,0.0,16.82
22.0,15.0,2.0,16.0,0.5,0.75,25.98,0.0,16.51
23.0,15.0,2.0,16.0,0.5,0.75,21.9,0.0,18.95
24.0,15.0,2.0,16.0,0.5,0.75,28.71,0.0,15.62
25.0,15.0,2.0,16.0,0.5,1.25,28.71,0.0,15.62
26.0,5.0,1.0,16.0,0.5,1.75,1.32,0.0,8.66
27.0,5.0,1.0,16.0,0.5,0.75,18.02,0.0,1.01
28.0,5.0,1.0,16.0,0.5,0.75,0.0,0.0,9.64
29.0,5.0,1.0,16.0,0.5,1.25,9.87,0.0,5.92
30.0,5.0,1.0,16.0,0.5,1.25,10.97,0.0,3.94
31.0,5.0,1.0,16.0,0.5,1.25,3.64,0.0,7.82
32.0,5.0,1.0,16.0,0.5,1.75,12.91,0.0,4.34
33.0,5.0,1.0,16.0,0.5,1.25,8.47,0.0,6.35
34.0,5.0,1.0,16.0,0.5,1.25,6.71,0.0,5.75
35.0,5.0,1.0,16.0,0.5,1.25,6.36,0.0,6.14
36.0,5.0,1.0,16.0,0.5,0.75,6.71,0.0,5.75
37.0,5.0,1.0,16.0,0.5,0.75,3.64,0.0,7.82
38.0,5.0,1.0,16.0,0.5,1.25,0.0,0.0,9.64
39.0,5.0,1.0,16.0,0.5,0.75,1.3,0.0,9.65
40.0,5.0,1.0,16.0,0.5,0.75,12.68,0.0,3.38
41.0,5.0,1.0,16.0,0.5,1.25,1.32,0.0,8.66
42.0,25.0,3.0,16.0,0.5,0.75,50.45,0.0,23.96
43.0,25.0,3.0,16.0,0.5,1.25,55.88,0.0,0.0
44.0,25.0,3.0,16.0,0.5,0.75,45.48,0.0,26.74
45.0,25.0,3.0,16.0,0.5,1.75,43.22,0.0,28.61
46.0,25.0,3.0,16.0,0.5,0.75,49.42,0.0,25.41
47.0,25.0,3.0,16.0,0.5,1.75,50.0,0.0,24.86
48.0,25.0,3.0,16.0,0.5,1.25,52.49,0.0,23.85
49.0,25.0,3.0,16.0,0.5,0.75,51.35,0.0,23.85
50.0,25.0,3.0,16.0,0.5,0.75,51.35,0.0,23.85
51.0,25.0,3.0,16.0,0.5,0.75,39.24,0.0,29.62
52.0,25.0,3.0,16.0,0.5,1.25,57.5,0.0,21.75
53.0,25.0,3.0,16.0,0.5,0.75,45.48,0.0,26.74
54.0,25.0,3.0,16.0,0.5,1.75,41.26,0.0,28.63
55.0,25.0,3.0,16.0,0.5,0.75,47.18,0.0,26.55
56.0,25.0,3.0,16.0,0.5,0.75,52.35,0.0,23.5
57.0,25.0,3.0,16.0,0.5,1.75,52.33,0.0,24.05
58.0,5.0,1.0,5.0,0.5,0.75,12.91,0.0,4.34
59.0,5.0,1.0,5.0,0.5,1.75,4.96,0.0,7.48
60.0,5.0,1.0,5.0,0.5,0.75,12.91,0.0,4.34
61.0,5.0,1.0,5.0,0.5,1.25,10.37,0.0,3.92
62.0,5.0,1.0,5.0,0.5,0.75,15.92,0.0,1.96
63.0,15.0,2.0,5.0,0.5,0.75,39.02,0.0,10.51
64.0,15.0,2.0,5.0,0.5,0.75,29.91,0.0,15.94
65.0,15.0,2.0,5.0,0.5,1.25,29.58,0.0,14.93
66.0,15.0,2.0,5.0,0.5,1.25,31.16,0.0,15.16
67.0,15.0,2.0,5.0,0.5,1.75,20.3,0.0,20.15
68.0,25.0,3.0,5.0,0.5,0.75,48.85,0.0,26.25
69.0,25.0,3.0,5.0,0.5,0.75,48.39,0.0,26.59
70.0,25.0,3.0,5.0,0.5,0.75,41.26,0.0,28.63
71.0,25.0,3.0,5.0,0.5,0.75,48.19,0.0,26.21
72.0,25.0,3.0,5.0,0.5,0.75,52.48,0.0,23.28
73.0,15.0,2.0,16.0,0.5,1.25,27.29,0.0,16.04
74.0,15.0,2.0,16.0,0.5,1.25,26.38,0.0,16.43
75.0,15.0,2.0,16.0,0.5,0.75,20.08,0.0,19.04
76.0,15.0,2.0,16.0,0.5,1.25,20.08,0.0,19.04
77.0,15.0,2.0,16.0,0.5,1.75,32.17,0.0,13.97
78.0,15.0,2.0,16.0,0.5,1.75,27.29,0.0,16.04
79.0,15.0,2.0,16.0,0.5,0.75,28.17,0.0,15.91
80.0,15.0,2.0,16.0,0.5,0.75,36.82,0.0,11.41
81.0,15.0,2.0,16.0,0.5,1.75,28.49,0.0,16.36
82.0,15.0,2.0,16.0,0.5,0.75,28.56,0.0,14.98
83.0,15.0,2.0,16.0,0.5,0.75,20.08,0.0,19.04
84.0,15.0,2.0,16.0,0.5,0.75,30.63,0.0,14.05
85.0,15.0,2.0,16.0,0.5,0.75,33.65,0.0,14.15
86.0,15.0,2.0,16.0,0.5,1.25,34.34,0.0,12.17
87.0,15.0,2.0,16.0,0.5,0.75,23.52,0.0,17.76
88.0,15.0,2.0,16.0,0.5,0.75,33.9,0.0,13.99
89.0,5.0,1.0,16.0,0.5,0.75,9.16,0.0,4.72
90.0,5.0,1.0,16.0,0.5,0.75,1.32,0.0,8.66
91.0,5.0,1.0,16.0,0.5,0.75,5.56,0.0,6.3
92.0,5.0,1.0,16.0,0.5,1.75,2.32,0.0,8.16
93.0,5.0,1.0,16.0,0.5,1.75,9.87,0.0,5.92
94.0,5.0,1.0,16.0,0.5,0.75,1.32,0.0,8.66
95.0,5.0,1.0,16.0,0.5,1.25,5.56,0.0,6.78
96.0,5.0,1.0,16.0,0.5,1.25,5.56,0.0,6.3
97.0,5.0,1.0,16.0,0.5,1.75,15.4,0.0,2.7
98.0,5.0,1.0,16.0,0.5,0.75,5.56,0.0,6.3
99.0,5.0,1.0,16.0,0.5,1.25,17.8,0.0,1.9
100.0,5.0,1.0,16.0,0.5,0.75,9.29,0.0,5.91
101.0,5.0,1.0,16.0,0.5,1.75,10.97,0.0,3.94
102.0,5.0,1.0,16.0,0.5,0.75,10.32,0.0,4.46
103.0,5.0,1.0,16.0,0.5,0.75,17.8,0.0,1.9
104.0,5.0,1.0,16.0,0.5,1.25,18.94,0.0,0.47
105.0,25.0,3.0,16.0,0.5,0.75,54.4,0.0,23.2
106.0,25.0,3.0,16.0,0.5,1.75,46.82,0.0,26.93
107.0,25.0,3.0,16.0,0.5,1.25,41.26,0.0,28.63
108.0,25.0,3.0,16.0,0.5,0.75,51.69,0.0,24.3
109.0,25.0,3.0,16.0,0.5,1.75,50.62,0.0,25.45
110.0,25.0,3.0,16.0,0.5,1.25,50.13,0.0,24.08
111.0,25.0,3.0,16.0,0.5,1.75,52.33,0.0,24.05
112.0,25.0,3.0,16.0,0.5,0.75,50.62,0.0,25.45
113.0,25.0,3.0,16.0,0.5,1.75,49.01,0.0,25.77
114.0,25.0,3.0,16.0,0.5,1.25,46.12,0.0,26.86
115.0,25.0,3.0,16.0,0.5,1.25,52.49,0.0,23.85
116.0,25.0,3.0,16.0,0.5,1.25,54.68,0.0,22.34
117.0,25.0,3.0,16.0,0.5,0.75,54.54,0.0,23.47
118.0,25.0,3.0,16.0,0.5,0.75,46.12,0.0,26.86
119.0,25.0,3.0,16.0,0.5,0.75,51.5,0.0,25.05
120.0,25.0,3.0,16.0,0.5,0.75,48.85,0.0,26.25
121.0,5.0,1.0,5.0,0.5,0.75,9.87,0.0,5.92
122.0,5.0,1.0,5.0,0.5,0.75,15.92,0.0,1.96
123.0,5.0,1.0,5.0,0.5,0.75,13.64,0.0,3.3
124.0,5.0,1.0,5.0,0.5,0.75,9.38,0.0,4.55
125.0,5.0,1.0,5.0,0.5,1.25,9.45,0.0,6.27
126.0,15.0,2.0,5.0,0.5,1.75,33.24,0.0,13.38
127.0,15.0,2.0,5.0,0.5,1.25,39.3,0.0,0.0
128.0,15.0,2.0,5.0,0.5,1.25,31.52,0.0,15.06
129.0,15.0,2.0,5.0,0.5,1.75,24.14,0.0,17.07
130.0,15.0,2.0,5.0,0.5,0.75,28.17,0.0,15.91
