,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,5.0,0.5,1.75,40.5,0.0,29.25
1.0,25.0,3.0,5.0,0.5,1.25,55.7,0.0,0.0
2.0,25.0,3.0,5.0,0.5,1.25,47.34,0.0,26.63
3.0,25.0,3.0,5.0,0.5,0.75,44.34,0.0,27.17
4.0,25.0,3.0,5.0,0.5,1.75,55.0,0.0,22.5
5.0,5.0,1.0,16.0,0.5,0.75,5.86,0.0,6.93
6.0,5.0,1.0,16.0,0.5,0.75,2.5,0.0,8.25
7.0,5.0,1.0,16.0,0.5,1.25,14.46,0.0,3.43
8.0,5.0,1.0,16.0,0.5,1.75,4.54,0.0,8.27
9.0,5.0,1.0,16.0,0.5,0.75,4.54,0.0,8.27
10.0,5.0,1.0,16.0,0.5,0.75,5.84,0.0,7.92
11.0,5.0,1.0,16.0,0.5,1.25,13.2,0.0,2.6
12.0,5.0,1.0,16.0,0.5,0.75,9.9,0.0,5.65
13.0,5.0,1.0,16.0,0.5,1.25,9.72,0.0,4.44
14.0,5.0,1.0,16.0,0.5,1.75,9.25,0.0,6.17
15.0,5.0,1.0,16.0,0.5,1.25,9.72,0.0,4.44
16.0,5.0,1.0,16.0,0.5,0.75,16.84,0.0,2.42
17.0,5.0,1.0,16.0,0.5,1.25,12.13,0.0,4.52
18.0,5.0,1.0,16.0,0.5,0.75,10.76,0.0,5.52
19.0,5.0,1.0,16.0,0.5,0.75,2.5,0.0,8.25
20.0,5.0,1.0,16.0,0.5,1.25,0.24,0.0,9.12
21.0,15.0,2.0,16.0,0.5,0.75,31.11,0.0,14.01
22.0,15.0,2.0,16.0,0.5,1.25,30.32,0.0,14.74
23.0,15.0,2.0,16.0,0.5,1.25,27.72,0.0,16.82
24.0,15.0,2.0,16.0,0.5,1.25,23.58,0.0,18.79
25.0,15.0,2.0,16.0,0.5,1.25,39.44,0.0,9.72
26.0,15.0,2.0,16.0,0.5,1.75,30.32,0.0,14.74
27.0,15.0,2.0,16.0,0.5,1.25,29.36,0.0,14.54
28.0,15.0,2.0,16.0,0.5,0.75,29.74,0.0,15.29
29.0,15.0,2.0,16.0,0.5,0.75,31.11,0.0,14.01
30.0,15.0,2.0,16.0,0.5,1.25,34.54,0.0,13.47
31.0,15.0,2.0,16.0,0.5,1.25,34.06,0.0,13.79
32.0,15.0,2.0,16.0,0.5,1.75,25.84,0.0,16.16
33.0,15.0,2.0,16.0,0.5,0.75,39.1,0.0,10.55
34.0,15.0,2.0,16.0,0.5,1.75,30.32,0.0,14.74
35.0,15.0,2.0,16.0,0.5,1.25,30.91,0.0,14.47
36.0,15.0,2.0,16.0,0.5,1.25,30.91,0.0,14.47
37.0,5.0,1.0,5.0,0.5,0.75,6.86,0.0,7.23
38.0,5.0,1.0,5.0,0.5,0.75,11.09,0.0,4.56
39.0,5.0,1.0,5.0,0.5,0.75,13.2,0.0,2.6
40.0,5.0,1.0,5.0,0.5,0.75,9.19,0.0,5.58
41.0,5.0,1.0,5.0,0.5,0.75,9.98,0.0,4.29
42.0,25.0,3.0,16.0,0.5,0.75,40.4,0.0,30.2
43.0,25.0,3.0,16.0,0.5,0.75,48.84,0.0,25.12
44.0,25.0,3.0,16.0,0.5,1.75,51.21,0.0,23.49
45.0,25.0,3.0,16.0,0.5,1.75,51.35,0.0,23.85
46.0,25.0,3.0,16.0,0.5,1.25,51.35,0.0,23.85
47.0,25.0,3.0,16.0,0.5,0.75,48.85,0.0,26.54
48.0,25.0,3.0,16.0,0.5,0.75,56.52,0.0,21.26
49.0,25.0,3.0,16.0,0.5,1.25,51.21,0.0,23.49
50.0,25.0,3.0,16.0,0.5,1.75,46.63,0.0,25.71
51.0,25.0,3.0,16.0,0.5,1.75,42.82,0.0,29.41
52.0,25.0,3.0,16.0,0.5,1.25,43.22,0.0,27.61
53.0,25.0,3.0,16.0,0.5,1.75,51.22,0.0,25.19
54.0,25.0,3.0,16.0,0.5,1.75,46.9,0.0,27.25
55.0,25.0,3.0,16.0,0.5,0.75,50.64,0.0,24.62
56.0,25.0,3.0,16.0,0.5,1.75,42.82,0.0,29.41
57.0,25.0,3.0,16.0,0.5,0.75,49.94,0.0,25.11
58.0,15.0,2.0,5.0,0.5,0.75,29.74,0.0,15.29
59.0,15.0,2.0,5.0,0.5,0.75,26.63,0.0,15.71
60.0,15.0,2.0,5.0,0.5,0.75,29.36,0.0,14.54
61.0,15.0,2.0,5.0,0.5,0.75,32.09,0.0,13.65
62.0,15.0,2.0,5.0,0.5,1.75,29.74,0.0,15.29
63.0,25.0,3.0,5.0,0.5,1.25,43.9,0.0,28.95
64.0,25.0,3.0,5.0,0.5,1.25,60.5,0.0,20.25
65.0,25.0,3.0,5.0,0.5,0.75,53.14,0.0,23.05
66.0,25.0,3.0,5.0,0.5,0.75,52.75,0.0,23.98
67.0,25.0,3.0,5.0,0.5,1.25,46.63,0.0,25.71
68.0,5.0,1.0,16.0,0.5,0.75,16.84,0.0,2.42
69.0,5.0,1.0,16.0,0.5,0.75,10.76,0.0,5.52
70.0,5.0,1.0,16.0,0.5,0.75,14.46,0.0,3.43
71.0,5.0,1.0,16.0,0.5,0.75,6.86,0.0,7.23
72.0,5.0,1.0,16.0,0.5,0.75,13.2,0.0,2.6
73.0,5.0,1.0,16.0,0.5,1.75,13.2,0.0,2.6
74.0,5.0,1.0,16.0,0.5,0.75,9.71,0.0,6.12
75.0,5.0,1.0,16.0,0.5,1.75,9.9,0.0,5.65
76.0,5.0,1.0,16.0,0.5,1.75,8.41,0.0,6.6
77.0,5.0,1.0,16.0,0.5,1.75,16.8,0.0,1.4
78.0,5.0,1.0,16.0,0.5,1.75,0.24,0.0,9.12
79.0,5.0,1.0,16.0,0.5,0.75,6.48,0.0,6.76
80.0,5.0,1.0,16.0,0.5,0.75,16.8,0.0,1.4
