,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,16.0,0.5,0.75,15.36,0.0,1.68
1.0,5.0,1.0,16.0,0.5,1.25,12.37,0.0,4.64
2.0,5.0,1.0,16.0,0.5,0.75,14.04,0.0,2.02
3.0,5.0,1.0,16.0,0.5,0.75,12.39,0.0,3.8
4.0,5.0,1.0,16.0,0.5,0.75,4.42,0.0,7.21
5.0,5.0,1.0,16.0,0.5,1.25,0.64,0.0,10.32
6.0,5.0,1.0,16.0,0.5,0.75,18.86,0.0,1.43
7.0,5.0,1.0,16.0,0.5,1.25,6.42,0.0,6.45
8.0,5.0,1.0,16.0,0.5,0.75,11.2,0.0,4.9
9.0,5.0,1.0,16.0,0.5,0.75,10.44,0.0,5.64
10.0,5.0,1.0,16.0,0.5,1.25,12.61,0.0,3.63
11.0,5.0,1.0,16.0,0.5,0.75,18.58,0.0,0.29
12.0,5.0,1.0,16.0,0.5,0.75,8.01,0.0,6.12
13.0,5.0,1.0,16.0,0.5,1.25,9.55,0.0,5.76
14.0,5.0,1.0,16.0,0.5,1.75,7.53,0.0,6.16
15.0,5.0,1.0,16.0,0.5,1.75,12.39,0.0,3.8
16.0,25.0,3.0,16.0,0.5,0.75,52.29,0.0,23.47
17.0,25.0,3.0,16.0,0.5,1.25,48.74,0.0,25.07
18.0,25.0,3.0,16.0,0.5,0.75,47.31,0.0,26.33
19.0,25.0,3.0,16.0,0.5,1.25,50.3,0.0,25.01
20.0,25.0,3.0,16.0,0.5,0.75,52.67,0.0,24.51
21.0,25.0,3.0,16.0,0.5,1.75,50.98,0.0,25.07
22.0,25.0,3.0,16.0,0.5,1.25,46.36,0.0,27.18
23.0,25.0,3.0,16.0,0.5,1.25,48.74,0.0,25.07
24.0,25.0,3.0,16.0,0.5,0.75,58.48,0.0,21.24
25.0,25.0,3.0,16.0,0.5,0.75,53.06,0.0,23.29
26.0,25.0,3.0,16.0,0.5,1.25,48.67,0.0,25.32
27.0,25.0,3.0,16.0,0.5,1.25,47.35,0.0,25.79
28.0,25.0,3.0,16.0,0.5,0.75,49.45,0.0,25.99
29.0,25.0,3.0,16.0,0.5,0.75,42.72,0.0,29.36
30.0,25.0,3.0,16.0,0.5,0.75,48.67,0.0,25.32
31.0,25.0,3.0,16.0,0.5,0.75,54.12,0.0,22.06
32.0,5.0,1.0,5.0,0.5,1.75,2.28,0.0,8.14
33.0,5.0,1.0,5.0,0.5,1.25,11.41,0.0,4.44
34.0,5.0,1.0,5.0,0.5,0.75,12.52,0.0,3.02
35.0,5.0,1.0,5.0,0.5,0.75,8.01,0.0,6.12
36.0,5.0,1.0,5.0,0.5,1.75,0.64,0.0,10.32
37.0,15.0,2.0,5.0,0.5,1.25,30.58,0.0,14.87
38.0,15.0,2.0,5.0,0.5,0.75,25.28,0.0,17.64
39.0,15.0,2.0,5.0,0.5,0.75,28.17,0.0,16.76
40.0,15.0,2.0,5.0,0.5,1.25,29.69,0.0,15.83
41.0,15.0,2.0,5.0,0.5,1.25,40.52,0.0,10.26
42.0,25.0,3.0,5.0,0.5,0.75,53.74,0.0,22.87
43.0,25.0,3.0,5.0,0.5,0.75,52.29,0.0,23.47
44.0,25.0,3.0,5.0,0.5,0.75,59.24,0.0,19.62
45.0,25.0,3.0,5.0,0.5,1.25,50.6,0.0,25.44
46.0,25.0,3.0,5.0,0.5,1.75,47.35,0.0,25.79
47.0,15.0,2.0,16.0,0.5,0.75,32.96,0.0,12.68
48.0,15.0,2.0,16.0,0.5,1.25,35.64,0.0,0.0
49.0,15.0,2.0,16.0,0.5,1.75,29.7,0.0,15.27
50.0,15.0,2.0,16.0,0.5,0.75,37.5,0.0,10.75
51.0,15.0,2.0,16.0,0.5,1.25,40.52,0.0,10.26
52.0,15.0,2.0,16.0,0.5,0.75,31.79,0.0,13.5
53.0,15.0,2.0,16.0,0.5,1.75,31.79,0.0,13.5
54.0,15.0,2.0,16.0,0.5,1.75,33.7,0.0,13.89
55.0,15.0,2.0,16.0,0.5,1.25,30.17,0.0,14.1
56.0,15.0,2.0,16.0,0.5,0.75,30.58,0.0,14.87
57.0,15.0,2.0,16.0,0.5,1.75,36.72,0.0,12.36
58.0,15.0,2.0,16.0,0.5,1.75,28.17,0.0,16.76
59.0,15.0,2.0,16.0,0.5,1.25,25.34,0.0,16.67
60.0,15.0,2.0,16.0,0.5,0.75,40.52,0.0,10.26
61.0,15.0,2.0,16.0,0.5,1.25,26.94,0.0,17.27
62.0,15.0,2.0,16.0,0.5,1.25,36.72,0.0,12.36
63.0,5.0,1.0,16.0,0.5,1.75,7.53,0.0,6.16
64.0,5.0,1.0,16.0,0.5,0.75,14.5,0.0,3.45
65.0,5.0,1.0,16.0,0.5,1.25,4.42,0.0,7.21
66.0,5.0,1.0,16.0,0.5,1.75,15.36,0.0,1.68
67.0,5.0,1.0,16.0,0.5,0.75,11.41,0.0,4.44
68.0,5.0,1.0,16.0,0.5,1.25,11.2,0.0,4.9
69.0,5.0,1.0,16.0,0.5,0.75,18.86,0.0,1.43
70.0,5.0,1.0,16.0,0.5,1.75,6.42,0.0,6.45
71.0,5.0,1.0,16.0,0.5,0.75,11.41,0.0,4.44
72.0,5.0,1.0,16.0,0.5,1.25,11.17,0.0,4.6
73.0,5.0,1.0,16.0,0.5,0.75,8.77,0.0,6.21
74.0,5.0,1.0,16.0,0.5,0.75,0.64,0.0,10.32
75.0,5.0,1.0,16.0,0.5,0.75,10.44,0.0,5.64
76.0,5.0,1.0,16.0,0.5,1.75,6.16,0.0,6.88
77.0,5.0,1.0,16.0,0.5,0.75,0.64,0.0,10.32
78.0,5.0,1.0,16.0,0.5,0.75,0.64,0.0,10.32
79.0,25.0,3.0,16.0,0.5,0.75,50.6,0.0,25.44
80.0,25.0,3.0,16.0,0.5,1.25,39.58,0.0,29.79
81.0,25.0,3.0,16.0,0.5,0.75,58.32,0.0,20.16
82.0,25.0,3.0,16.0,0.5,1.25,53.34,0.0,23.15
83.0,25.0,3.0,16.0,0.5,0.75,47.08,0.0,26.78
84.0,25.0,3.0,16.0,0.5,1.75,43.52,0.0,27.76
85.0,25.0,3.0,16.0,0.5,0.75,59.24,0.0,0.0
86.0,25.0,3.0,16.0,0.5,0.75,48.37,0.0,25.73
87.0,25.0,3.0,16.0,0.5,1.25,50.32,0.0,24.46
88.0,25.0,3.0,16.0,0.5,1.75,50.98,0.0,25.07
89.0,25.0,3.0,16.0,0.5,1.25,54.12,0.0,22.06
90.0,25.0,3.0,16.0,0.5,1.25,47.35,0.0,25.79
91.0,25.0,3.0,16.0,0.5,1.75,46.91,0.0,25.85
92.0,25.0,3.0,16.0,0.5,0.75,52.57,0.0,23.89
93.0,25.0,3.0,16.0,0.5,0.75,56.18,0.0,21.09
94.0,25.0,3.0,16.0,0.5,0.75,48.74,0.0,25.07
95.0,5.0,1.0,5.0,0.5,1.25,10.42,0.0,4.79
96.0,5.0,1.0,5.0,0.5,1.25,14.04,0.0,2.02
97.0,5.0,1.0,5.0,0.5,1.75,18.86,0.0,1.43
98.0,5.0,1.0,5.0,0.5,1.75,12.39,0.0,3.8
99.0,5.0,1.0,5.0,0.5,0.75,18.86,0.0,1.43
100.0,15.0,2.0,5.0,0.5,0.75,33.07,0.0,14.42
101.0,15.0,2.0,5.0,0.5,1.75,34.52,0.0,13.74
102.0,15.0,2.0,5.0,0.5,0.75,27.35,0.0,15.5
103.0,15.0,2.0,5.0,0.5,0.75,30.17,0.0,14.1
104.0,15.0,2.0,5.0,0.5,0.75,25.98,0.0,16.23
105.0,25.0,3.0,5.0,0.5,1.75,48.67,0.0,25.32
106.0,25.0,3.0,5.0,0.5,0.75,49.45,0.0,25.99
107.0,25.0,3.0,5.0,0.5,0.75,52.29,0.0,23.47
108.0,25.0,3.0,5.0,0.5,1.75,53.0,0.0,22.7
109.0,25.0,3.0,5.0,0.5,0.75,56.54,0.0,22.27
110.0,15.0,2.0,16.0,0.5,1.25,30.56,0.0,15.42
111.0,15.0,2.0,16.0,0.5,1.25,33.02,0.0,12.51
112.0,15.0,2.0,16.0,0.5,0.75,29.78,0.0,14.75
113.0,15.0,2.0,16.0,0.5,1.75,25.28,0.0,17.64
114.0,15.0,2.0,16.0,0.5,1.25,28.27,0.0,15.4
115.0,15.0,2.0,16.0,0.5,0.75,28.27,0.0,15.4
116.0,15.0,2.0,16.0,0.5,1.75,25.74,0.0,16.39
117.0,15.0,2.0,16.0,0.5,0.75,31.79,0.0,13.5
118.0,15.0,2.0,16.0,0.5,0.75,40.52,0.0,10.26
119.0,15.0,2.0,16.0,0.5,1.25,29.5,0.0,15.45
120.0,15.0,2.0,16.0,0.5,0.75,22.04,0.0,19.02
121.0,15.0,2.0,16.0,0.5,0.75,25.28,0.0,17.64
122.0,15.0,2.0,16.0,0.5,1.25,26.68,0.0,16.3
123.0,15.0,2.0,16.0,0.5,1.25,27.35,0.0,15.5
124.0,15.0,2.0,16.0,0.5,0.75,29.41,0.0,16.25
125.0,15.0,2.0,16.0,0.5,1.75,23.08,0.0,17.54
126.0,5.0,1.0,5.0,0.5,0.75,12.52,0.0,3.02
127.0,5.0,1.0,5.0,0.5,0.75,11.2,0.0,4.9
128.0,5.0,1.0,5.0,0.5,0.75,4.42,0.0,7.21
129.0,5.0,1.0,5.0,0.5,0.75,20.5,0.0,0.25
130.0,5.0,1.0,5.0,0.5,1.75,8.77,0.0,6.21
