,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,16.0,0.5,1.25,29.8,0.0,14.2
1.0,15.0,2.0,16.0,0.5,1.25,24.92,0.0,18.46
2.0,15.0,2.0,16.0,0.5,0.75,20.66,0.0,20.33
3.0,15.0,2.0,16.0,0.5,0.75,22.26,0.0,18.13
4.0,15.0,2.0,16.0,0.5,1.75,33.76,0.0,12.88
5.0,15.0,2.0,16.0,0.5,1.25,28.01,0.0,14.99
6.0,15.0,2.0,16.0,0.5,1.25,26.94,0.0,17.47
7.0,15.0,2.0,16.0,0.5,1.25,37.9,0.0,11.95
8.0,15.0,2.0,16.0,0.5,0.75,28.33,0.0,15.43
9.0,15.0,2.0,16.0,0.5,0.75,33.76,0.0,12.88
10.0,15.0,2.0,16.0,0.5,0.75,30.59,0.0,14.03
11.0,15.0,2.0,16.0,0.5,0.75,33.76,0.0,12.88
12.0,15.0,2.0,16.0,0.5,1.25,29.46,0.0,15.43
13.0,15.0,2.0,16.0,0.5,1.25,27.47,0.0,15.28
14.0,15.0,2.0,16.0,0.5,0.75,30.22,0.0,14.69
15.0,15.0,2.0,16.0,0.5,0.75,29.8,0.0,14.2
16.0,5.0,1.0,16.0,0.5,1.75,9.2,0.0,5.02
17.0,5.0,1.0,16.0,0.5,1.25,10.63,0.0,4.33
18.0,5.0,1.0,16.0,0.5,0.75,9.2,0.0,5.02
19.0,5.0,1.0,16.0,0.5,0.75,3.98,0.0,7.99
20.0,5.0,1.0,16.0,0.5,1.75,10.99,0.0,3.95
21.0,5.0,1.0,16.0,0.5,1.75,6.67,0.0,5.73
22.0,5.0,1.0,16.0,0.5,0.75,14.06,0.0,3.79
23.0,5.0,1.0,16.0,0.5,0.75,5.88,0.0,6.18
24.0,5.0,1.0,16.0,0.5,1.25,11.87,0.0,3.54
25.0,5.0,1.0,16.0,0.5,0.75,10.64,0.0,4.62
26.0,5.0,1.0,16.0,0.5,0.75,5.98,0.0,6.79
27.0,5.0,1.0,16.0,0.5,1.75,2.26,0.0,8.13
