,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,5.0,0.5,1.25,31.87,0.0,13.82
1.0,15.0,2.0,5.0,0.5,0.75,35.86,0.0,11.93
2.0,15.0,2.0,5.0,0.5,0.75,27.04,0.0,16.76
3.0,15.0,2.0,5.0,0.5,1.75,28.83,0.0,15.68
4.0,15.0,2.0,5.0,0.5,1.25,25.74,0.0,16.87
5.0,5.0,1.0,16.0,0.5,0.75,12.7,0.0,2.83
6.0,5.0,1.0,16.0,0.5,0.75,12.74,0.0,3.41
7.0,5.0,1.0,16.0,0.5,1.25,13.52,0.0,2.76
8.0,5.0,1.0,16.0,0.5,1.75,7.03,0.0,6.19
9.0,5.0,1.0,16.0,0.5,1.75,13.12,0.0,2.76
10.0,5.0,1.0,16.0,0.5,1.75,8.69,0.0,5.89
11.0,5.0,1.0,16.0,0.5,1.75,1.42,0.0,9.71
12.0,5.0,1.0,16.0,0.5,0.75,9.56,0.0,4.36
13.0,5.0,1.0,16.0,0.5,0.75,13.52,0.0,2.76
14.0,5.0,1.0,16.0,0.5,1.25,8.07,0.0,6.15
15.0,5.0,1.0,16.0,0.5,0.75,6.78,0.0,7.39
16.0,5.0,1.0,16.0,0.5,0.75,8.07,0.0,5.3
17.0,5.0,1.0,16.0,0.5,0.75,16.06,0.0,2.03
18.0,5.0,1.0,16.0,0.5,1.25,9.56,0.0,4.36
19.0,5.0,1.0,16.0,0.5,1.25,12.99,0.0,4.38
20.0,5.0,1.0,16.0,0.5,0.75,1.42,0.0,9.71
21.0,25.0,3.0,5.0,0.5,0.75,41.72,0.0,28.86
22.0,25.0,3.0,5.0,0.5,1.25,50.63,0.0,23.77
23.0,25.0,3.0,5.0,0.5,0.75,50.97,0.0,24.5
24.0,25.0,3.0,5.0,0.5,0.75,60.54,0.0,0.0
25.0,25.0,3.0,5.0,0.5,1.75,46.56,0.0,26.24
26.0,5.0,1.0,5.0,0.5,1.25,1.58,0.0,8.79
27.0,5.0,1.0,5.0,0.5,0.75,6.69,0.0,5.74
28.0,5.0,1.0,5.0,0.5,0.75,18.74,0.0,1.37
29.0,5.0,1.0,5.0,0.5,1.25,7.03,0.0,6.19
30.0,5.0,1.0,5.0,0.5,1.25,5.4,0.0,7.7
31.0,15.0,2.0,16.0,0.5,1.75,37.46,0.0,10.73
32.0,15.0,2.0,16.0,0.5,0.75,31.87,0.0,13.82
33.0,15.0,2.0,16.0,0.5,1.75,39.92,0.0,10.96
34.0,15.0,2.0,16.0,0.5,1.75,29.83,0.0,15.9
35.0,15.0,2.0,16.0,0.5,0.75,33.23,0.0,13.94
36.0,15.0,2.0,16.0,0.5,0.75,34.26,0.0,13.33
37.0,15.0,2.0,16.0,0.5,1.75,21.08,0.0,19.54
38.0,15.0,2.0,16.0,0.5,0.75,29.83,0.0,15.9
39.0,15.0,2.0,16.0,0.5,1.25,27.55,0.0,16.17
40.0,15.0,2.0,16.0,0.5,1.25,30.67,0.0,13.79
41.0,15.0,2.0,16.0,0.5,1.75,37.46,0.0,10.73
42.0,15.0,2.0,16.0,0.5,1.25,26.7,0.0,16.31
43.0,15.0,2.0,16.0,0.5,0.75,26.7,0.0,16.31
44.0,15.0,2.0,16.0,0.5,1.25,25.74,0.0,16.87
45.0,15.0,2.0,16.0,0.5,1.25,27.99,0.0,16.67
46.0,15.0,2.0,16.0,0.5,0.75,29.83,0.0,15.9
47.0,25.0,3.0,16.0,0.5,0.75,52.49,0.0,23.57
48.0,25.0,3.0,16.0,0.5,1.75,50.04,0.0,24.6
49.0,25.0,3.0,16.0,0.5,1.75,47.53,0.0,25.31
50.0,25.0,3.0,16.0,0.5,1.25,58.62,0.0,20.31
51.0,25.0,3.0,16.0,0.5,0.75,47.37,0.0,25.51
52.0,25.0,3.0,16.0,0.5,0.75,43.84,0.0,28.92
53.0,25.0,3.0,16.0,0.5,0.75,52.49,0.0,23.57
54.0,25.0,3.0,16.0,0.5,1.25,60.54,0.0,20.27
55.0,25.0,3.0,16.0,0.5,1.25,48.49,0.0,25.23
56.0,25.0,3.0,16.0,0.5,0.75,45.8,0.0,26.7
57.0,25.0,3.0,16.0,0.5,1.75,58.62,0.0,20.31
58.0,25.0,3.0,16.0,0.5,0.75,53.74,0.0,23.07
59.0,25.0,3.0,16.0,0.5,1.75,54.02,0.0,23.49
60.0,25.0,3.0,16.0,0.5,1.25,45.8,0.0,26.7
61.0,25.0,3.0,16.0,0.5,0.75,47.53,0.0,25.31
62.0,25.0,3.0,16.0,0.5,1.25,45.12,0.0,27.56
63.0,15.0,2.0,5.0,0.5,0.75,24.9,0.0,18.45
64.0,15.0,2.0,5.0,0.5,0.75,39.92,0.0,10.96
65.0,15.0,2.0,5.0,0.5,0.75,39.92,0.0,0.0
66.0,15.0,2.0,5.0,0.5,0.75,31.87,0.0,13.82
67.0,15.0,2.0,5.0,0.5,0.75,31.95,0.0,14.71
68.0,5.0,1.0,16.0,0.5,1.75,6.78,0.0,7.39
69.0,5.0,1.0,16.0,0.5,1.75,9.48,0.0,5.16
70.0,5.0,1.0,16.0,0.5,0.75,12.23,0.0,4.57
71.0,5.0,1.0,16.0,0.5,0.75,7.28,0.0,7.16
72.0,5.0,1.0,16.0,0.5,0.75,8.07,0.0,5.3
73.0,5.0,1.0,16.0,0.5,1.75,20.92,0.0,0.46
74.0,5.0,1.0,16.0,0.5,0.75,20.92,0.0,0.46
75.0,5.0,1.0,16.0,0.5,1.25,12.99,0.0,4.38
76.0,5.0,1.0,16.0,0.5,0.75,9.8,0.0,5.6
77.0,5.0,1.0,16.0,0.5,0.75,5.4,0.0,7.7
78.0,5.0,1.0,16.0,0.5,1.75,0.42,0.0,10.21
79.0,5.0,1.0,16.0,0.5,1.75,5.4,0.0,7.7
80.0,5.0,1.0,16.0,0.5,1.25,9.8,0.0,5.6
81.0,5.0,1.0,16.0,0.5,0.75,11.41,0.0,3.88
82.0,5.0,1.0,16.0,0.5,0.75,15.7,0.0,2.85
83.0,5.0,1.0,16.0,0.5,0.75,7.28,0.0,7.16
84.0,25.0,3.0,5.0,0.5,0.75,52.49,0.0,23.57
85.0,25.0,3.0,5.0,0.5,1.25,58.02,0.0,21.01
86.0,25.0,3.0,5.0,0.5,1.25,46.65,0.0,26.0
87.0,25.0,3.0,5.0,0.5,0.75,43.84,0.0,28.92
88.0,25.0,3.0,5.0,0.5,0.75,50.97,0.0,24.5
89.0,5.0,1.0,5.0,0.5,0.75,7.28,0.0,7.16
90.0,5.0,1.0,5.0,0.5,1.25,15.7,0.0,2.85
91.0,5.0,1.0,5.0,0.5,0.75,0.42,0.0,10.21
92.0,5.0,1.0,5.0,0.5,1.75,6.69,0.0,5.74
93.0,5.0,1.0,5.0,0.5,0.75,7.04,0.0,7.32
94.0,15.0,2.0,16.0,0.5,1.25,27.55,0.0,16.17
95.0,15.0,2.0,16.0,0.5,0.75,27.99,0.0,16.67
96.0,15.0,2.0,16.0,0.5,1.75,33.23,0.0,13.94
97.0,15.0,2.0,16.0,0.5,0.75,25.2,0.0,16.4
98.0,15.0,2.0,16.0,0.5,0.75,30.24,0.0,15.82
99.0,15.0,2.0,16.0,0.5,1.75,31.49,0.0,14.76
100.0,15.0,2.0,16.0,0.5,0.75,34.58,0.0,12.29
101.0,15.0,2.0,16.0,0.5,1.75,29.84,0.0,14.5
102.0,15.0,2.0,16.0,0.5,1.25,31.49,0.0,14.76
103.0,15.0,2.0,16.0,0.5,1.75,34.58,0.0,12.29
104.0,15.0,2.0,16.0,0.5,0.75,21.42,0.0,18.71
105.0,15.0,2.0,16.0,0.5,1.75,30.08,0.0,14.34
106.0,15.0,2.0,16.0,0.5,1.25,26.7,0.0,16.31
107.0,15.0,2.0,16.0,0.5,0.75,32.86,0.0,13.19
108.0,15.0,2.0,16.0,0.5,0.75,34.58,0.0,12.29
109.0,15.0,2.0,16.0,0.5,0.75,37.46,0.0,10.73
110.0,25.0,3.0,16.0,0.5,1.25,47.53,0.0,25.31
111.0,25.0,3.0,16.0,0.5,1.25,52.12,0.0,23.1
112.0,25.0,3.0,16.0,0.5,1.25,43.84,0.0,28.92
113.0,25.0,3.0,16.0,0.5,0.75,55.22,0.0,21.61
114.0,25.0,3.0,16.0,0.5,0.75,51.38,0.0,24.99
115.0,25.0,3.0,16.0,0.5,1.25,50.04,0.0,24.6
116.0,25.0,3.0,16.0,0.5,0.75,50.97,0.0,24.5
117.0,25.0,3.0,16.0,0.5,1.25,48.49,0.0,25.23
118.0,25.0,3.0,16.0,0.5,1.25,45.12,0.0,27.56
119.0,25.0,3.0,16.0,0.5,1.25,47.08,0.0,27.06
120.0,25.0,3.0,16.0,0.5,0.75,46.65,0.0,26.0
