,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,5.0,0.5,1.25,0.78,0.0,9.39
1.0,5.0,1.0,5.0,0.5,1.25,10.02,0.0,5.15
2.0,5.0,1.0,5.0,0.5,0.75,19.6,0.0,0.8
3.0,5.0,1.0,5.0,0.5,0.75,17.44,0.0,0.72
4.0,5.0,1.0,5.0,0.5,0.75,9.09,0.0,6.37
5.0,15.0,2.0,5.0,0.5,1.75,25.64,0.0,16.34
6.0,15.0,2.0,5.0,0.5,0.75,37.96,0.0,11.98
7.0,15.0,2.0,5.0,0.5,0.75,32.17,0.0,13.97
8.0,15.0,2.0,5.0,0.5,1.25,32.65,0.0,13.93
9.0,15.0,2.0,5.0,0.5,1.75,28.87,0.0,16.55
10.0,25.0,3.0,16.0,0.5,1.75,56.76,0.0,21.38
11.0,25.0,3.0,16.0,0.5,1.25,53.52,0.0,22.76
12.0,25.0,3.0,16.0,0.5,0.75,51.23,0.0,23.5
13.0,25.0,3.0,16.0,0.5,0.75,55.74,0.0,0.0
14.0,25.0,3.0,16.0,0.5,0.75,44.86,0.0,27.43
15.0,25.0,3.0,16.0,0.5,1.25,47.03,0.0,25.91
16.0,25.0,3.0,16.0,0.5,0.75,58.2,0.0,21.1
17.0,25.0,3.0,16.0,0.5,0.75,44.06,0.0,28.03
18.0,25.0,3.0,16.0,0.5,0.75,51.23,0.0,23.5
19.0,25.0,3.0,16.0,0.5,0.75,42.94,0.0,28.47
20.0,25.0,3.0,16.0,0.5,0.75,45.34,0.0,26.47
21.0,25.0,3.0,16.0,0.5,1.75,42.78,0.0,29.39
22.0,25.0,3.0,16.0,0.5,1.75,42.78,0.0,29.39
23.0,25.0,3.0,16.0,0.5,1.75,55.28,0.0,22.64
24.0,25.0,3.0,16.0,0.5,0.75,48.27,0.0,25.96
25.0,25.0,3.0,16.0,0.5,0.75,50.99,0.0,23.67
26.0,5.0,1.0,16.0,0.5,0.75,10.15,0.0,4.09
27.0,5.0,1.0,16.0,0.5,0.75,5.96,0.0,6.5
28.0,5.0,1.0,16.0,0.5,0.75,3.34,0.0,7.67
29.0,5.0,1.0,16.0,0.5,0.75,12.86,0.0,3.47
30.0,5.0,1.0,16.0,0.5,1.25,7.11,0.0,5.95
31.0,5.0,1.0,16.0,0.5,0.75,0.52,0.0,10.26
32.0,5.0,1.0,16.0,0.5,1.25,9.17,0.0,5.85
33.0,5.0,1.0,16.0,0.5,0.75,12.59,0.0,3.9
34.0,5.0,1.0,16.0,0.5,1.75,3.64,0.0,8.82
35.0,5.0,1.0,16.0,0.5,0.75,14.96,0.0,2.48
36.0,5.0,1.0,16.0,0.5,1.25,7.1,0.0,7.35
37.0,5.0,1.0,16.0,0.5,1.75,5.96,0.0,6.5
38.0,5.0,1.0,16.0,0.5,0.75,8.47,0.0,5.78
39.0,5.0,1.0,16.0,0.5,0.75,17.44,0.0,0.72
40.0,5.0,1.0,16.0,0.5,1.25,9.94,0.0,4.55
41.0,5.0,1.0,16.0,0.5,1.25,12.82,0.0,2.61
42.0,25.0,3.0,5.0,0.5,1.25,47.03,0.0,25.91
43.0,25.0,3.0,5.0,0.5,0.75,53.52,0.0,22.76
44.0,25.0,3.0,5.0,0.5,0.75,51.02,0.0,25.37
45.0,25.0,3.0,5.0,0.5,1.25,45.98,0.0,26.99
46.0,25.0,3.0,5.0,0.5,0.75,47.03,0.0,25.91
47.0,15.0,2.0,16.0,0.5,1.75,35.56,0.0,0.0
48.0,15.0,2.0,16.0,0.5,1.25,31.23,0.0,14.07
49.0,15.0,2.0,16.0,0.5,0.75,26.38,0.0,16.99
50.0,15.0,2.0,16.0,0.5,0.75,25.96,0.0,17.98
51.0,15.0,2.0,16.0,0.5,0.75,30.55,0.0,14.01
52.0,15.0,2.0,16.0,0.5,0.75,32.14,0.0,13.11
53.0,15.0,2.0,16.0,0.5,0.75,32.14,0.0,13.11
54.0,15.0,2.0,16.0,0.5,0.75,22.76,0.0,19.38
55.0,15.0,2.0,16.0,0.5,0.75,28.96,0.0,15.18
56.0,15.0,2.0,16.0,0.5,0.75,39.82,0.0,10.91
57.0,15.0,2.0,16.0,0.5,1.75,26.38,0.0,16.99
58.0,15.0,2.0,16.0,0.5,1.25,26.38,0.0,16.99
59.0,15.0,2.0,16.0,0.5,0.75,32.17,0.0,13.97
60.0,15.0,2.0,16.0,0.5,1.25,28.49,0.0,15.51
61.0,15.0,2.0,16.0,0.5,0.75,22.28,0.0,18.14
62.0,15.0,2.0,16.0,0.5,0.75,28.87,0.0,16.55
63.0,5.0,1.0,5.0,0.5,0.75,9.09,0.0,6.37
64.0,5.0,1.0,5.0,0.5,0.75,17.26,0.0,1.63
65.0,5.0,1.0,5.0,0.5,1.75,9.5,0.0,5.17
66.0,5.0,1.0,5.0,0.5,1.25,9.5,0.0,5.17
67.0,5.0,1.0,5.0,0.5,1.25,10.15,0.0,4.09
68.0,15.0,2.0,5.0,0.5,1.25,26.5,0.0,16.49
69.0,15.0,2.0,5.0,0.5,0.75,33.88,0.0,13.42
70.0,15.0,2.0,5.0,0.5,1.25,32.15,0.0,13.4
71.0,15.0,2.0,5.0,0.5,1.75,27.81,0.0,15.73
72.0,15.0,2.0,5.0,0.5,1.25,26.24,0.0,17.12
73.0,25.0,3.0,16.0,0.5,0.75,50.99,0.0,23.67
74.0,25.0,3.0,16.0,0.5,0.75,40.22,0.0,29.11
75.0,25.0,3.0,16.0,0.5,1.25,44.86,0.0,27.43
76.0,25.0,3.0,16.0,0.5,1.75,47.68,0.0,27.08
77.0,25.0,3.0,16.0,0.5,0.75,45.98,0.0,26.99
78.0,25.0,3.0,16.0,0.5,1.75,52.4,0.0,23.24
79.0,25.0,3.0,16.0,0.5,0.75,50.08,0.0,25.74
80.0,25.0,3.0,16.0,0.5,0.75,42.94,0.0,28.47
81.0,25.0,3.0,16.0,0.5,1.25,49.92,0.0,25.38
82.0,25.0,3.0,16.0,0.5,0.75,52.92,0.0,22.66
83.0,25.0,3.0,16.0,0.5,0.75,46.63,0.0,25.99
84.0,25.0,3.0,16.0,0.5,1.75,50.28,0.0,24.44
85.0,25.0,3.0,16.0,0.5,1.75,54.36,0.0,23.66
86.0,25.0,3.0,16.0,0.5,1.25,50.99,0.0,23.67
87.0,25.0,3.0,16.0,0.5,0.75,46.3,0.0,26.67
88.0,25.0,3.0,16.0,0.5,1.25,44.06,0.0,28.03
89.0,5.0,1.0,16.0,0.5,0.75,7.11,0.0,5.95
90.0,5.0,1.0,16.0,0.5,1.75,5.04,0.0,7.52
91.0,5.0,1.0,16.0,0.5,1.25,19.5,0.0,0.0
92.0,5.0,1.0,16.0,0.5,1.75,10.15,0.0,4.09
93.0,5.0,1.0,16.0,0.5,1.75,14.96,0.0,2.48
94.0,5.0,1.0,16.0,0.5,1.25,19.6,0.0,0.8
95.0,5.0,1.0,16.0,0.5,1.75,9.94,0.0,4.55
96.0,5.0,1.0,16.0,0.5,0.75,8.47,0.0,5.78
97.0,5.0,1.0,16.0,0.5,1.75,9.94,0.0,4.55
98.0,5.0,1.0,16.0,0.5,1.25,12.19,0.0,3.98
99.0,5.0,1.0,16.0,0.5,1.75,13.3,0.0,2.65
100.0,5.0,1.0,16.0,0.5,0.75,7.11,0.0,5.95
101.0,5.0,1.0,16.0,0.5,1.25,11.61,0.0,3.98
102.0,5.0,1.0,16.0,0.5,1.25,3.64,0.0,8.82
103.0,5.0,1.0,16.0,0.5,0.75,3.64,0.0,8.82
104.0,5.0,1.0,16.0,0.5,0.75,12.19,0.0,3.98
105.0,25.0,3.0,5.0,0.5,0.75,52.31,0.0,23.76
106.0,25.0,3.0,5.0,0.5,1.25,52.4,0.0,23.24
107.0,25.0,3.0,5.0,0.5,1.25,44.86,0.0,27.43
108.0,25.0,3.0,5.0,0.5,0.75,49.62,0.0,24.95
109.0,25.0,3.0,5.0,0.5,0.75,50.99,0.0,23.67
110.0,15.0,2.0,16.0,0.5,1.75,28.49,0.0,15.51
111.0,15.0,2.0,16.0,0.5,1.25,25.96,0.0,17.98
112.0,15.0,2.0,16.0,0.5,1.25,31.91,0.0,14.13
113.0,15.0,2.0,16.0,0.5,0.75,27.13,0.0,16.24
114.0,15.0,2.0,16.0,0.5,1.75,37.96,0.0,11.98
115.0,15.0,2.0,16.0,0.5,0.75,20.98,0.0,20.49
116.0,15.0,2.0,16.0,0.5,0.75,28.96,0.0,15.18
117.0,15.0,2.0,16.0,0.5,0.75,25.96,0.0,17.98
118.0,15.0,2.0,16.0,0.5,0.75,35.56,0.0,12.78
119.0,15.0,2.0,16.0,0.5,1.25,32.65,0.0,13.93
120.0,15.0,2.0,16.0,0.5,1.75,29.64,0.0,14.68
121.0,15.0,2.0,16.0,0.5,1.25,26.5,0.0,16.49
122.0,15.0,2.0,16.0,0.5,1.75,29.58,0.0,14.37
123.0,15.0,2.0,16.0,0.5,1.25,30.12,0.0,14.36
124.0,15.0,2.0,16.0,0.5,0.75,20.98,0.0,20.49
125.0,15.0,2.0,16.0,0.5,1.25,38.58,0.0,11.29
126.0,5.0,1.0,5.0,0.5,1.25,19.5,0.0,0.0
127.0,5.0,1.0,5.0,0.5,1.75,5.04,0.0,7.52
128.0,5.0,1.0,5.0,0.5,0.75,9.88,0.0,4.24
129.0,5.0,1.0,5.0,0.5,0.75,9.09,0.0,6.37
130.0,5.0,1.0,5.0,0.5,0.75,12.58,0.0,3.05
