,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,5.0,0.5,0.75,25.62,0.0,16.81
1.0,15.0,2.0,5.0,0.5,0.75,33.98,0.0,12.99
2.0,15.0,2.0,5.0,0.5,0.75,30.93,0.0,14.2
3.0,15.0,2.0,5.0,0.5,1.75,32.01,0.0,14.18
4.0,15.0,2.0,5.0,0.5,1.75,30.16,0.0,14.94
5.0,5.0,1.0,16.0,0.5,0.75,10.41,0.0,3.94
6.0,5.0,1.0,16.0,0.5,0.75,0.58,0.0,10.29
7.0,5.0,1.0,16.0,0.5,1.25,16.76,0.0,1.38
8.0,5.0,1.0,16.0,0.5,1.25,10.44,0.0,4.52
9.0,5.0,1.0,16.0,0.5,0.75,20.92,0.0,0.46
10.0,5.0,1.0,16.0,0.5,1.75,9.19,0.0,5.86
11.0,5.0,1.0,16.0,0.5,0.75,4.1,0.0,8.05
12.0,5.0,1.0,16.0,0.5,0.75,9.19,0.0,5.86
13.0,5.0,1.0,16.0,0.5,1.25,14.02,0.0,3.21
14.0,5.0,1.0,16.0,0.5,1.25,4.62,0.0,7.31
15.0,5.0,1.0,16.0,0.5,1.25,1.26,0.0,9.63
16.0,5.0,1.0,16.0,0.5,0.75,9.58,0.0,5.21
17.0,5.0,1.0,16.0,0.5,0.75,13.8,0.0,2.9
18.0,5.0,1.0,16.0,0.5,0.75,9.26,0.0,5.33
19.0,5.0,1.0,16.0,0.5,0.75,14.14,0.0,3.55
20.0,5.0,1.0,16.0,0.5,1.25,15.98,0.0,2.99
21.0,15.0,2.0,16.0,0.5,0.75,19.02,0.0,19.51
22.0,15.0,2.0,16.0,0.5,1.25,19.02,0.0,19.51
23.0,15.0,2.0,16.0,0.5,1.25,27.85,0.0,15.19
24.0,15.0,2.0,16.0,0.5,1.25,21.04,0.0,18.52
25.0,15.0,2.0,16.0,0.5,1.25,33.23,0.0,14.22
26.0,15.0,2.0,16.0,0.5,0.75,37.74,0.0,10.87
27.0,15.0,2.0,16.0,0.5,1.25,33.88,0.0,13.7
28.0,15.0,2.0,16.0,0.5,0.75,29.95,0.0,15.96
29.0,15.0,2.0,16.0,0.5,1.25,29.08,0.0,14.96
30.0,15.0,2.0,16.0,0.5,0.75,33.8,0.0,13.1
31.0,15.0,2.0,16.0,0.5,0.75,34.74,0.0,12.37
32.0,15.0,2.0,16.0,0.5,0.75,30.16,0.0,14.94
33.0,15.0,2.0,16.0,0.5,0.75,30.5,0.0,14.55
34.0,15.0,2.0,16.0,0.5,0.75,33.88,0.0,13.7
35.0,15.0,2.0,16.0,0.5,1.75,21.04,0.0,18.52
36.0,15.0,2.0,16.0,0.5,1.75,30.76,0.0,14.96
37.0,25.0,3.0,5.0,0.5,1.25,56.22,0.0,22.11
38.0,25.0,3.0,5.0,0.5,0.75,51.63,0.0,23.7
39.0,25.0,3.0,5.0,0.5,1.25,40.36,0.0,29.18
40.0,25.0,3.0,5.0,0.5,0.75,49.96,0.0,25.12
41.0,25.0,3.0,5.0,0.5,1.25,49.28,0.0,25.06
42.0,5.0,1.0,5.0,0.5,1.75,4.1,0.0,8.05
43.0,5.0,1.0,5.0,0.5,0.75,20.92,0.0,0.46
44.0,5.0,1.0,5.0,0.5,0.75,11.41,0.0,3.88
45.0,5.0,1.0,5.0,0.5,1.75,7.31,0.0,5.77
46.0,5.0,1.0,5.0,0.5,0.75,13.8,0.0,2.9
47.0,25.0,3.0,16.0,0.5,0.75,52.34,0.0,22.93
48.0,25.0,3.0,16.0,0.5,1.75,47.83,0.0,25.18
49.0,25.0,3.0,16.0,0.5,1.75,49.96,0.0,25.12
50.0,25.0,3.0,16.0,0.5,0.75,49.28,0.0,25.06
51.0,25.0,3.0,16.0,0.5,0.75,51.63,0.0,23.7
52.0,25.0,3.0,16.0,0.5,0.75,49.96,0.0,25.12
53.0,25.0,3.0,16.0,0.5,0.75,56.06,0.0,21.03
54.0,25.0,3.0,16.0,0.5,0.75,49.76,0.0,25.58
55.0,25.0,3.0,16.0,0.5,0.75,46.32,0.0,26.12
56.0,25.0,3.0,16.0,0.5,0.75,53.28,0.0,23.12
57.0,25.0,3.0,16.0,0.5,1.25,58.16,0.0,20.08
58.0,25.0,3.0,16.0,0.5,1.75,58.16,0.0,20.08
59.0,25.0,3.0,16.0,0.5,1.75,60.52,0.0,0.0
60.0,25.0,3.0,16.0,0.5,0.75,45.24,0.0,26.42
61.0,25.0,3.0,16.0,0.5,1.75,51.63,0.0,23.7
62.0,25.0,3.0,16.0,0.5,1.25,44.22,0.0,27.11
63.0,15.0,2.0,5.0,0.5,1.75,39.5,0.0,10.75
64.0,15.0,2.0,5.0,0.5,0.75,27.03,0.0,15.63
65.0,15.0,2.0,5.0,0.5,1.75,26.9,0.0,16.97
66.0,15.0,2.0,5.0,0.5,1.25,37.74,0.0,10.87
67.0,15.0,2.0,5.0,0.5,1.25,33.59,0.0,14.12
68.0,5.0,1.0,16.0,0.5,0.75,12.79,0.0,4.28
69.0,5.0,1.0,16.0,0.5,1.25,13.34,0.0,3.71
70.0,5.0,1.0,16.0,0.5,1.75,7.56,0.0,6.74
71.0,5.0,1.0,16.0,0.5,0.75,4.1,0.0,8.05
72.0,5.0,1.0,16.0,0.5,0.75,10.62,0.0,5.17
73.0,5.0,1.0,16.0,0.5,0.75,7.35,0.0,5.5
74.0,5.0,1.0,16.0,0.5,1.75,9.08,0.0,4.68
75.0,5.0,1.0,16.0,0.5,1.75,2.74,0.0,8.37
76.0,5.0,1.0,16.0,0.5,0.75,6.38,0.0,6.43
77.0,5.0,1.0,16.0,0.5,0.75,9.98,0.0,4.57
78.0,5.0,1.0,16.0,0.5,1.25,6.38,0.0,6.43
79.0,5.0,1.0,16.0,0.5,1.25,19.44,0.0,0.72
80.0,5.0,1.0,16.0,0.5,1.25,6.38,0.0,6.43
81.0,5.0,1.0,16.0,0.5,1.25,4.62,0.0,7.31
82.0,5.0,1.0,16.0,0.5,0.75,9.11,0.0,5.54
83.0,5.0,1.0,16.0,0.5,0.75,14.02,0.0,3.21
84.0,15.0,2.0,16.0,0.5,1.25,25.62,0.0,16.81
85.0,15.0,2.0,16.0,0.5,0.75,31.07,0.0,13.99
86.0,15.0,2.0,16.0,0.5,0.75,30.38,0.0,15.33
87.0,15.0,2.0,16.0,0.5,0.75,27.11,0.0,15.95
88.0,15.0,2.0,16.0,0.5,0.75,39.5,0.0,10.75
89.0,15.0,2.0,16.0,0.5,1.75,23.26,0.0,18.63
90.0,15.0,2.0,16.0,0.5,1.75,25.62,0.0,16.81
91.0,15.0,2.0,16.0,0.5,0.75,36.12,0.0,0.0
92.0,15.0,2.0,16.0,0.5,1.25,29.66,0.0,15.53
93.0,15.0,2.0,16.0,0.5,0.75,26.9,0.0,16.97
94.0,15.0,2.0,16.0,0.5,0.75,25.52,0.0,16.56
95.0,15.0,2.0,16.0,0.5,1.25,23.26,0.0,18.63
96.0,15.0,2.0,16.0,0.5,0.75,27.11,0.0,15.95
97.0,15.0,2.0,16.0,0.5,0.75,33.2,0.0,13.08
98.0,15.0,2.0,16.0,0.5,1.75,33.59,0.0,14.12
99.0,15.0,2.0,16.0,0.5,0.75,21.04,0.0,18.52
100.0,25.0,3.0,5.0,0.5,0.75,51.53,0.0,23.94
101.0,25.0,3.0,5.0,0.5,0.75,55.16,0.0,22.58
102.0,25.0,3.0,5.0,0.5,1.25,54.56,0.0,23.28
103.0,25.0,3.0,5.0,0.5,1.25,45.24,0.0,26.42
104.0,25.0,3.0,5.0,0.5,1.75,54.56,0.0,23.28
105.0,5.0,1.0,5.0,0.5,1.75,5.62,0.0,6.81
106.0,5.0,1.0,5.0,0.5,0.75,18.16,0.0,1.08
107.0,5.0,1.0,5.0,0.5,0.75,12.85,0.0,4.03
108.0,5.0,1.0,5.0,0.5,1.75,7.35,0.0,5.5
109.0,5.0,1.0,5.0,0.5,1.25,12.85,0.0,4.03
110.0,25.0,3.0,16.0,0.5,1.25,58.16,0.0,20.08
111.0,25.0,3.0,16.0,0.5,0.75,49.05,0.0,26.35
112.0,25.0,3.0,16.0,0.5,1.25,49.05,0.0,26.35
113.0,25.0,3.0,16.0,0.5,1.75,52.34,0.0,22.93
114.0,25.0,3.0,16.0,0.5,1.25,51.27,0.0,24.37
115.0,25.0,3.0,16.0,0.5,1.25,41.26,0.0,28.63
116.0,25.0,3.0,16.0,0.5,1.75,46.08,0.0,26.56
117.0,25.0,3.0,16.0,0.5,1.75,58.16,0.0,20.08
118.0,25.0,3.0,16.0,0.5,1.25,49.76,0.0,25.58
119.0,25.0,3.0,16.0,0.5,0.75,40.98,0.0,30.49
120.0,25.0,3.0,16.0,0.5,0.75,50.5,0.0,24.55
121.0,25.0,3.0,16.0,0.5,1.25,48.05,0.0,25.57
122.0,25.0,3.0,16.0,0.5,0.75,44.22,0.0,27.11
123.0,25.0,3.0,16.0,0.5,0.75,60.52,0.0,20.26
124.0,25.0,3.0,16.0,0.5,1.25,46.08,0.0,26.56
125.0,25.0,3.0,16.0,0.5,0.75,50.01,0.0,25.99
126.0,15.0,2.0,5.0,0.5,1.75,24.58,0.0,17.29
127.0,15.0,2.0,5.0,0.5,0.75,40.64,0.0,10.32
128.0,15.0,2.0,5.0,0.5,0.75,30.5,0.0,14.55
129.0,15.0,2.0,5.0,0.5,1.25,27.83,0.0,15.74
130.0,15.0,2.0,5.0,0.5,0.75,33.88,0.0,13.7
