,subID,riskyGain,riskyLoss,safe,RT,round_earnings,curr_goal,curr_bonus,loc,response,choice,outcome,iti,itiExtra,cond,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM,roundColor,ischecktrial
1,005,21.32,0.0,7.34,1.6120557500398718,21.32,349.85,25,1,"[['v', 1.6120557500398718]]",1,21.32,1.25,2.387944249960128,0,0.015414374996908009,[],1.6348118339665234,2.1409419589908794,3.142071084002964,0,1,1,0
2,005,15.47,0.0,10.27,1.3360020410036668,31.59,349.85,25,2,"[['v', 1.3360020410036668]]",0,10.27,0.75,2.663997958996333,0,6.770031749969348,[],8.111832291993778,8.617526834015734,9.618639416992664,1,1,1,0
3,005,11.62,0.0,6.19,1.2944522500038147,31.59,349.85,25,2,"[['n', 1.2944522500038147]]",1,0.0,1.25,2.7055477499961853,0,13.032201084017288,[],14.33602291700663,14.84062933397945,15.841729249979835,2,1,1,0
4,005,19.28,0.0,8.36,1.5852173749590293,31.59,349.85,25,1,"[['v', 1.5852173749590293]]",1,0.0,0.75,2.4147826250409707,0,19.781937791965902,[],21.373323209001683,21.877953417017125,22.87906737497542,3,1,1,0
5,005,0.0,0.0,10.25,0.8563149999827147,41.84,349.85,25,1,"[['n', 0.8563149999827147]]",0,10.25,0.75,3.1436850000172853,0,26.030507166986354,[],26.890043916995637,27.39687270898139,28.397940708964597,4,1,1,1
6,005,17.73,0.0,3.13,1.4784460419905372,59.57000000000001,349.85,25,1,"[['v', 1.4784460419905372]]",1,17.73,1.25,2.521553958009463,0,32.2829175000079,[],33.769758499984164,34.27598475001287,35.27711579197785,5,1,1,0
7,005,11.84,0.0,6.08,1.4759627919993363,65.65,349.85,25,2,"[['v', 1.4759627919993363]]",0,6.08,0.75,2.5240372080006637,0,39.03107337496476,[],40.51283937500557,41.01927962497575,42.02038512501167,6,1,1,0
8,005,20.03,0.0,1.99,1.5576303330017254,65.65,349.85,25,2,"[['n', 1.5576303330017254]]",1,0.0,0.75,2.4423696669982746,0,45.266992292017676,[],46.830394791963045,47.3350143340067,48.33611924998695,7,1,1,0
9,005,0.0,0.0,3.13,1.02019220800139,68.78,349.85,25,1,"[['n', 1.02019220800139]]",0,3.13,1.25,2.97980779199861,0,51.516721458989196,[],52.54015741701005,53.04698120901594,54.04808812501142,8,1,1,1
10,005,15.09,0.0,10.46,1.3512327499920502,79.24000000000001,349.85,25,2,"[['v', 1.3512327499920502]]",0,10.46,1.25,2.6487672500079498,0,58.26634525001282,[],59.62328995898133,60.12901391700143,61.1301295000012,9,1,1,0
11,005,11.43,0.0,6.29,1.796074417012278,90.67000000000002,349.85,25,1,"[['v', 1.796074417012278]]",1,11.43,1.25,2.203925582987722,0,65.0172630000161,[],66.82375450001564,67.32970583398128,68.33079791697673,10,1,1,0
12,005,14.26,0.0,0.0,1.4917106250068173,90.67000000000002,349.85,25,1,"[['v', 1.4917106250068173]]",1,0.0,0.75,2.5082893749931827,0,71.76727508398471,[],73.26490499998908,73.76951537496643,74.7705854169908,11,1,1,1
13,005,10.95,0.0,6.53,1.6858123330166563,97.20000000000002,349.85,25,2,"[['v', 1.6858123330166563]]",0,6.53,0.75,2.3141876669833437,0,78.01766058400972,[],79.7092068750062,80.21603391697863,81.21713208401343,12,1,1,0
14,005,16.6,0.0,9.7,1.6477553329896182,97.20000000000002,349.85,25,2,"[['n', 1.6477553329896182]]",1,0.0,1.25,2.352244667010382,0,84.26785120897694,[],85.92135316698113,86.4259077499737,87.42700324999169,13,1,1,0
15,005,19.86,0.0,0.0,0.98840883403318,97.20000000000002,349.85,25,2,"[['n', 0.98840883403318]]",1,0.0,1.25,3.01159116596682,0,91.01576054200996,[],92.00739624997368,92.51303295901744,93.51411558396649,14,1,1,1
16,005,28.21,0.0,3.89,1.3903432919760235,97.20000000000002,349.85,25,1,"[['v', 1.3903432919760235]]",1,0.0,1.25,2.6096567080239765,0,97.76546525000595,[],99.16177641699323,99.66627004201291,100.66740974999266,15,1,1,0
17,005,15.7,0.0,10.15,1.1199579579988495,107.35000000000002,349.85,25,1,"[['n', 1.1199579579988495]]",0,10.15,0.75,2.8800420420011505,0,104.51782558398554,[],105.64328866696451,106.14910770900315,107.15021629200783,16,1,1,0
18,005,10.55,0.0,6.73,1.6209039579844102,114.08000000000003,349.85,25,2,"[['v', 1.6209039579844102]]",0,6.73,1.25,2.3790960420155898,0,110.76708374998998,[],112.39408945897594,112.90076462499565,113.90186604199698,17,1,1,0
19,005,17.59,0.0,9.2,1.521910791983828,131.67000000000002,349.85,25,1,"[['v', 1.521910791983828]]",1,17.59,0.75,2.478089208016172,0,117.51819962501759,[],119.04591745900689,119.55187354196096,120.55298008397222,18,1,1,0
20,005,16.11,6.99,6.99,2.1802293750224635,138.66000000000003,349.85,25,2,"[['n', 2.1802293750224635]]",1,6.99,1.25,1.8197706249775365,0,123.77192358399043,125.78131320897955,125.95542308397125,126.4613415839849,127.46251783397747,19,1,1,1
21,005,18.33,0.0,8.84,1.8688234589644708,138.66000000000003,349.85,25,2,"[['n', 1.8688234589644708]]",1,0.0,1.25,2.1311765410355292,0,130.5195222920156,[],132.39441120898118,132.9001724589616,133.90134024998406,20,1,1,0
22,005,11.2,0.0,6.4,1.286693457979709,145.06000000000003,349.85,25,1,"[['n', 1.286693457979709]]",0,6.4,1.25,2.713306542020291,0,137.27071825001622,[],138.56309666699963,139.06894083396764,140.07003574998816,21,1,1,0
