,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,16.0,0.5,1.25,43.8,0.0,27.9
1.0,25.0,3.0,16.0,0.5,0.75,46.06,0.0,25.99
2.0,25.0,3.0,16.0,0.5,1.25,45.08,0.0,27.54
3.0,25.0,3.0,16.0,0.5,1.25,47.0,0.0,27.02
4.0,25.0,3.0,16.0,0.5,0.75,47.93,0.0,26.36
5.0,25.0,3.0,16.0,0.5,0.75,51.25,0.0,23.51
6.0,25.0,3.0,16.0,0.5,1.25,56.94,0.0,21.47
7.0,25.0,3.0,16.0,0.5,0.75,59.86,0.0,19.93
8.0,25.0,3.0,16.0,0.5,1.25,50.4,0.0,24.78
9.0,25.0,3.0,16.0,0.5,0.75,50.4,0.0,24.78
10.0,25.0,3.0,16.0,0.5,1.75,48.64,0.0,25.02
11.0,25.0,3.0,16.0,0.5,0.75,48.21,0.0,25.09
12.0,25.0,3.0,16.0,0.5,1.25,47.0,0.0,27.02
13.0,25.0,3.0,16.0,0.5,1.75,51.25,0.0,23.51
14.0,25.0,3.0,16.0,0.5,0.75,41.16,0.0,28.58
15.0,25.0,3.0,16.0,0.5,0.75,56.94,0.0,21.47
16.0,15.0,2.0,16.0,0.5,0.75,30.48,0.0,15.38
17.0,15.0,2.0,16.0,0.5,0.75,38.34,0.0,10.17
18.0,15.0,2.0,16.0,0.5,0.75,25.12,0.0,17.56
19.0,15.0,2.0,16.0,0.5,0.75,26.12,0.0,16.86
20.0,15.0,2.0,16.0,0.5,0.75,33.31,0.0,13.98
21.0,15.0,2.0,16.0,0.5,0.75,25.12,0.0,17.56
22.0,15.0,2.0,16.0,0.5,1.25,33.06,0.0,12.73
23.0,15.0,2.0,16.0,0.5,0.75,32.64,0.0,13.36
24.0,15.0,2.0,16.0,0.5,1.75,36.04,0.0,11.02
25.0,15.0,2.0,16.0,0.5,1.25,28.9,0.0,14.87
26.0,15.0,2.0,16.0,0.5,0.75,32.64,0.0,13.36
27.0,15.0,2.0,16.0,0.5,0.75,22.5,0.0,18.25
28.0,15.0,2.0,16.0,0.5,1.75,28.45,0.0,16.05
29.0,15.0,2.0,16.0,0.5,1.25,27.26,0.0,16.87
30.0,15.0,2.0,16.0,0.5,1.75,28.57,0.0,15.27
31.0,15.0,2.0,16.0,0.5,1.25,38.34,0.0,0.0
32.0,25.0,3.0,5.0,0.5,1.25,56.54,0.0,0.0
33.0,25.0,3.0,5.0,0.5,0.75,42.28,0.0,28.14
34.0,25.0,3.0,5.0,0.5,1.75,54.36,0.0,22.18
35.0,25.0,3.0,5.0,0.5,0.75,48.23,0.0,25.66
36.0,25.0,3.0,5.0,0.5,1.75,48.64,0.0,25.02
37.0,5.0,1.0,16.0,0.5,1.75,7.29,0.0,6.04
38.0,5.0,1.0,16.0,0.5,1.25,7.29,0.0,6.04
39.0,5.0,1.0,16.0,0.5,1.75,8.23,0.0,5.66
40.0,5.0,1.0,16.0,0.5,1.25,3.12,0.0,7.56
41.0,5.0,1.0,16.0,0.5,1.25,9.56,0.0,4.36
42.0,5.0,1.0,16.0,0.5,0.75,10.47,0.0,3.97
43.0,5.0,1.0,16.0,0.5,1.75,9.83,0.0,5.9
44.0,5.0,1.0,16.0,0.5,1.25,12.15,0.0,3.4
45.0,5.0,1.0,16.0,0.5,1.75,2.58,0.0,9.29
46.0,5.0,1.0,16.0,0.5,0.75,13.28,0.0,3.68
47.0,5.0,1.0,16.0,0.5,0.75,6.48,0.0,6.48
48.0,5.0,1.0,16.0,0.5,0.75,2.58,0.0,9.29
49.0,5.0,1.0,16.0,0.5,0.75,12.65,0.0,4.5
50.0,5.0,1.0,16.0,0.5,0.75,13.27,0.0,4.24
51.0,5.0,1.0,16.0,0.5,1.25,10.3,0.0,5.57
52.0,5.0,1.0,16.0,0.5,1.25,3.12,0.0,7.56
53.0,15.0,2.0,5.0,0.5,1.75,32.47,0.0,14.12
54.0,15.0,2.0,5.0,0.5,0.75,39.42,0.0,9.71
55.0,15.0,2.0,5.0,0.5,0.75,32.47,0.0,14.12
56.0,15.0,2.0,5.0,0.5,1.75,28.45,0.0,16.05
57.0,15.0,2.0,5.0,0.5,1.75,22.46,0.0,19.23
58.0,5.0,1.0,5.0,0.5,0.75,10.47,0.0,3.97
59.0,5.0,1.0,5.0,0.5,0.75,12.65,0.0,4.5
60.0,5.0,1.0,5.0,0.5,0.75,7.29,0.0,6.04
61.0,5.0,1.0,5.0,0.5,1.75,6.88,0.0,6.4
62.0,5.0,1.0,5.0,0.5,1.75,7.93,0.0,5.23
63.0,25.0,3.0,16.0,0.5,1.25,53.25,0.0,23.95
64.0,25.0,3.0,16.0,0.5,0.75,48.64,0.0,25.02
65.0,25.0,3.0,16.0,0.5,1.25,48.23,0.0,25.94
66.0,25.0,3.0,16.0,0.5,1.25,41.16,0.0,28.58
67.0,25.0,3.0,16.0,0.5,1.75,45.88,0.0,26.18
68.0,25.0,3.0,16.0,0.5,0.75,51.77,0.0,23.49
69.0,25.0,3.0,16.0,0.5,0.75,49.88,0.0,24.24
70.0,25.0,3.0,16.0,0.5,0.75,47.83,0.0,26.59
71.0,25.0,3.0,16.0,0.5,0.75,45.08,0.0,27.54
72.0,25.0,3.0,16.0,0.5,0.75,39.48,0.0,29.74
73.0,25.0,3.0,16.0,0.5,0.75,43.8,0.0,27.9
74.0,25.0,3.0,16.0,0.5,1.25,56.94,0.0,21.47
75.0,25.0,3.0,16.0,0.5,0.75,47.0,0.0,27.02
76.0,25.0,3.0,16.0,0.5,1.25,46.52,0.0,27.06
77.0,25.0,3.0,16.0,0.5,1.25,50.4,0.0,24.78
78.0,25.0,3.0,16.0,0.5,0.75,45.08,0.0,27.54
79.0,15.0,2.0,16.0,0.5,1.75,21.72,0.0,19.86
80.0,15.0,2.0,16.0,0.5,0.75,27.27,0.0,16.03
81.0,15.0,2.0,16.0,0.5,0.75,24.94,0.0,18.47
82.0,15.0,2.0,16.0,0.5,1.25,25.34,0.0,16.67
83.0,15.0,2.0,16.0,0.5,0.75,32.64,0.0,13.36
84.0,15.0,2.0,16.0,0.5,1.25,31.32,0.0,14.96
85.0,15.0,2.0,16.0,0.5,0.75,20.34,0.0,20.17
86.0,15.0,2.0,16.0,0.5,1.25,32.47,0.0,14.12
87.0,15.0,2.0,16.0,0.5,0.75,28.81,0.0,15.95
88.0,15.0,2.0,16.0,0.5,1.75,35.7,0.0,12.85
89.0,15.0,2.0,16.0,0.5,1.25,32.42,0.0,12.97
90.0,15.0,2.0,16.0,0.5,0.75,28.57,0.0,15.27
91.0,15.0,2.0,16.0,0.5,1.75,38.34,0.0,10.17
92.0,15.0,2.0,16.0,0.5,0.75,24.94,0.0,18.47
93.0,15.0,2.0,16.0,0.5,0.75,28.57,0.0,15.27
94.0,15.0,2.0,16.0,0.5,0.75,28.9,0.0,14.87
95.0,25.0,3.0,5.0,0.5,1.25,46.06,0.0,25.99
96.0,25.0,3.0,5.0,0.5,1.25,48.39,0.0,25.46
97.0,25.0,3.0,5.0,0.5,1.25,58.5,0.0,21.25
98.0,25.0,3.0,5.0,0.5,0.75,42.28,0.0,28.14
99.0,25.0,3.0,5.0,0.5,0.75,50.89,0.0,24.46
100.0,5.0,1.0,16.0,0.5,0.75,7.29,0.0,6.04
101.0,5.0,1.0,16.0,0.5,0.75,2.58,0.0,9.29
102.0,5.0,1.0,16.0,0.5,1.25,17.26,0.0,0.63
103.0,5.0,1.0,16.0,0.5,0.75,8.35,0.0,6.29
104.0,5.0,1.0,16.0,0.5,1.25,10.47,0.0,3.97
105.0,5.0,1.0,16.0,0.5,0.75,13.9,0.0,2.95
106.0,5.0,1.0,16.0,0.5,1.25,9.56,0.0,4.36
107.0,5.0,1.0,16.0,0.5,0.75,10.47,0.0,3.97
108.0,5.0,1.0,16.0,0.5,1.75,6.16,0.0,6.6
