,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,itiExtra,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,1.9411086660111323,2,"[['n', 1.9411086660111323]]",1,0,1,2.0588913339888677,0.03137345798313618,[],1.9785558749572374,2.4832652079639956,3.4843657499877736,1
2,6.45,0,5.1,1.3096679999725893,2,"[['v', 1.3096679999725893]]",0,5.1,1.5,2.6903320000274107,6.532101665972732,[],7.848533499985933,8.355047457967885,9.356209915946238,2
3,28.16,0,17.05,1.6909147500409745,2,"[['n', 1.6909147500409745]]",1,28.16,1,2.3090852499590255,13.53039029095089,[],15.227241207961924,15.734854624955915,16.73599229095271,3
4,8.5,0,4.12,1.925222499994561,1,"[['v', 1.925222499994561]]",1,0,2,2.074777500005439,20.02892512496328,[],21.960291957948357,22.466128499945626,23.46730562497396,4
5,30.54,0,17.25,2.2820569170289673,2,"[['n', 2.2820569170289673]]",1,0,1,1.7179430829710327,27.52799354097806,29.53796395799145,29.815146874985658,30.320126665988937,31.321241040946916,5
