,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,16.0,0.5,0.75,39.88,0.0,0.0
1.0,15.0,2.0,16.0,0.5,1.75,20.38,0.0,20.19
2.0,15.0,2.0,16.0,0.5,1.75,31.71,0.0,14.03
3.0,15.0,2.0,16.0,0.5,1.25,27.11,0.0,15.95
4.0,15.0,2.0,16.0,0.5,1.75,27.42,0.0,16.67
5.0,15.0,2.0,16.0,0.5,0.75,31.61,0.0,14.82
6.0,15.0,2.0,16.0,0.5,0.75,32.09,0.0,13.65
7.0,15.0,2.0,16.0,0.5,1.75,33.94,0.0,13.17
8.0,15.0,2.0,16.0,0.5,0.75,22.26,0.0,19.13
9.0,15.0,2.0,16.0,0.5,0.75,33.26,0.0,13.11
10.0,15.0,2.0,16.0,0.5,0.75,27.42,0.0,16.67
11.0,15.0,2.0,16.0,0.5,1.75,28.09,0.0,15.87
12.0,15.0,2.0,16.0,0.5,1.25,31.71,0.0,14.03
13.0,15.0,2.0,16.0,0.5,0.75,29.34,0.0,14.81
14.0,15.0,2.0,16.0,0.5,0.75,31.34,0.0,15.25
15.0,15.0,2.0,16.0,0.5,1.25,22.26,0.0,19.13
16.0,5.0,1.0,16.0,0.5,1.25,10.71,0.0,3.81
17.0,5.0,1.0,16.0,0.5,0.75,9.18,0.0,4.45
18.0,5.0,1.0,16.0,0.5,0.75,9.5,0.0,4.89
19.0,5.0,1.0,16.0,0.5,0.75,8.87,0.0,6.26
20.0,5.0,1.0,16.0,0.5,1.25,7.39,0.0,5.81
21.0,5.0,1.0,16.0,0.5,0.75,11.95,0.0,3.58
22.0,5.0,1.0,16.0,0.5,0.75,4.92,0.0,7.46
23.0,5.0,1.0,16.0,0.5,1.25,16.98,0.0,2.49
24.0,5.0,1.0,16.0,0.5,0.75,5.26,0.0,6.43
25.0,5.0,1.0,16.0,0.5,0.75,10.71,0.0,3.81
26.0,5.0,1.0,16.0,0.5,0.75,7.19,0.0,5.99
27.0,5.0,1.0,16.0,0.5,1.75,11.22,0.0,5.19
28.0,5.0,1.0,16.0,0.5,0.75,9.18,0.0,4.45
29.0,5.0,1.0,16.0,0.5,0.75,7.02,0.0,6.75
30.0,5.0,1.0,16.0,0.5,1.75,9.5,0.0,4.89
31.0,5.0,1.0,16.0,0.5,0.75,12.74,0.0,3.13
32.0,15.0,2.0,5.0,0.5,0.75,34.92,0.0,12.46
33.0,15.0,2.0,5.0,0.5,0.75,30.75,0.0,13.83
34.0,15.0,2.0,5.0,0.5,1.75,28.51,0.0,15.24
35.0,15.0,2.0,5.0,0.5,0.75,27.42,0.0,16.67
36.0,15.0,2.0,5.0,0.5,1.25,31.71,0.0,14.03
37.0,25.0,3.0,5.0,0.5,0.75,42.06,0.0,28.03
38.0,25.0,3.0,5.0,0.5,1.25,55.9,0.0,22.95
39.0,25.0,3.0,5.0,0.5,1.75,53.25,0.0,24.23
40.0,25.0,3.0,5.0,0.5,1.75,52.82,0.0,22.89
41.0,25.0,3.0,5.0,0.5,0.75,53.03,0.0,24.4
42.0,5.0,1.0,5.0,0.5,0.75,12.71,0.0,3.68
43.0,5.0,1.0,5.0,0.5,0.75,12.05,0.0,4.2
44.0,5.0,1.0,5.0,0.5,0.75,7.02,0.0,6.75
45.0,5.0,1.0,5.0,0.5,0.75,14.46,0.0,3.43
46.0,5.0,1.0,5.0,0.5,0.75,11.37,0.0,3.57
47.0,25.0,3.0,16.0,0.5,1.25,58.6,0.0,20.3
48.0,25.0,3.0,16.0,0.5,1.75,50.1,0.0,24.63
49.0,25.0,3.0,16.0,0.5,1.25,55.9,0.0,22.95
50.0,25.0,3.0,16.0,0.5,1.25,44.14,0.0,27.07
51.0,25.0,3.0,16.0,0.5,0.75,44.7,0.0,28.35
52.0,25.0,3.0,16.0,0.5,1.25,52.23,0.0,23.44
53.0,25.0,3.0,16.0,0.5,0.75,46.02,0.0,27.01
54.0,25.0,3.0,16.0,0.5,0.75,53.32,0.0,23.42
55.0,25.0,3.0,16.0,0.5,1.25,52.23,0.0,23.44
56.0,25.0,3.0,16.0,0.5,1.25,46.02,0.0,27.01
57.0,25.0,3.0,16.0,0.5,0.75,56.18,0.0,22.09
58.0,25.0,3.0,16.0,0.5,1.75,47.95,0.0,25.52
59.0,25.0,3.0,16.0,0.5,1.75,48.51,0.0,25.52
