,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,25.0,3.0,16.0,0.5,0.75,56.34,0.0,22.17
1.0,25.0,3.0,16.0,0.5,1.25,47.43,0.0,26.39
2.0,25.0,3.0,16.0,0.5,1.25,39.64,0.0,29.82
3.0,25.0,3.0,16.0,0.5,1.25,55.26,0.0,22.63
4.0,25.0,3.0,16.0,0.5,1.25,52.44,0.0,22.98
5.0,25.0,3.0,16.0,0.5,1.75,55.26,0.0,22.63
6.0,25.0,3.0,16.0,0.5,0.75,42.02,0.0,28.01
7.0,25.0,3.0,16.0,0.5,0.75,52.44,0.0,22.98
8.0,25.0,3.0,16.0,0.5,1.75,59.0,0.0,21.5
9.0,25.0,3.0,16.0,0.5,0.75,48.94,0.0,25.17
10.0,25.0,3.0,16.0,0.5,1.75,47.67,0.0,25.38
11.0,25.0,3.0,16.0,0.5,1.25,57.78,0.0,21.89
12.0,25.0,3.0,16.0,0.5,0.75,52.47,0.0,23.56
13.0,25.0,3.0,16.0,0.5,0.75,50.96,0.0,24.78
14.0,25.0,3.0,16.0,0.5,0.75,47.57,0.0,25.9
15.0,25.0,3.0,16.0,0.5,1.25,47.67,0.0,25.38
16.0,15.0,2.0,5.0,0.5,1.75,35.86,0.0,12.93
17.0,15.0,2.0,5.0,0.5,1.25,32.57,0.0,14.17
18.0,15.0,2.0,5.0,0.5,1.75,21.12,0.0,18.56
19.0,15.0,2.0,5.0,0.5,0.75,33.52,0.0,13.8
20.0,15.0,2.0,5.0,0.5,1.75,26.36,0.0,16.7
21.0,5.0,1.0,16.0,0.5,0.75,2.92,0.0,8.46
22.0,5.0,1.0,16.0,0.5,0.75,19.82,0.0,0.0
23.0,5.0,1.0,16.0,0.5,0.75,8.87,0.0,6.26
24.0,5.0,1.0,16.0,0.5,0.75,13.52,0.0,3.8
25.0,5.0,1.0,16.0,0.5,1.25,5.56,0.0,6.58
26.0,5.0,1.0,16.0,0.5,1.25,10.67,0.0,3.79
27.0,5.0,1.0,16.0,0.5,0.75,8.45,0.0,6.62
28.0,5.0,1.0,16.0,0.5,0.75,11.97,0.0,4.16
