,subID,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,itiExtra,evLevel,evInd,runSize,strategy,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial,roundRDM,roundColor
1,005,33.02,0.0,12.99,1.4635495829861611,1,"[['v', 1.4635495829861611]]",1,33.02,1.75,2.536450417013839,15.0,2.0,16.0,0,0.012104583001928404,[],1.481014083023183,1.9851285830081906,2.9862398330005817,1,1,0
2,005,29.51,0.0,16.02,NaN,1,,NaN,NaN,0.75,0,15.0,2.0,16.0,0,8.018906500015873,10.026193124998827,12.03014295801404,12.534078416996635,13.535216332995333,2,1,0
3,005,51.23,0.0,23.5,1.2441193749837112,1,"[['v', 1.2441193749837112]]",1,0.0,0.75,2.755880625016289,25.0,3.0,16.0,3,0.01669224997749552,[],1.2650777089875191,1.7691622089769226,2.770232708979165,1,2,3
4,005,50.54,0.0,24.85,1.2230248330160975,2,"[['n', 1.2230248330160975]]",1,50.54,0.75,2.7769751669839025,25.0,3.0,16.0,3,7.022884334000992,[],8.253853166999761,8.75779070900171,9.758954083983554,2,2,3
5,005,46.14,0.0,26.59,1.2534385420149192,2,"[['n', 1.2534385420149192]]",1,0.0,1.25,2.746561457985081,25.0,3.0,5.0,2,0.015184832998784259,[],1.2731201660062652,1.7774954159976915,2.7786291250085924,1,3,2
6,005,54.28,0.0,23.34,1.0276630409935024,1,"[['v', 1.0276630409935024]]",1,54.28,1.25,2.9723369590064976,25.0,3.0,5.0,2,8.019289249990834,[],9.05070816600346,9.554854082991369,10.555965582985664,2,3,2
7,005,9.99,0.0,4.01,0.9439072080131155,2,"[['n', 0.9439072080131155]]",1,9.99,0.75,3.0560927919868845,5.0,1.0,16.0,1,0.016733083000872284,[],0.9646920830127783,1.4691393329994753,2.4703385829925537,1,4,1
8,005,8.39,0.0,5.46,1.1363402499991935,2,"[['n', 1.1363402499991935]]",1,0.0,1.25,2.8636597500008065,5.0,1.0,16.0,1,7.530419582995819,[],8.675975124991965,9.180004374997225,10.18110429099761,2,4,1
