,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,5.0,1.0,16.0,0.5,0.75,6.12,0.0,7.06
1.0,5.0,1.0,16.0,0.5,0.75,9.78,0.0,4.19
2.0,5.0,1.0,16.0,0.5,0.75,12.27,0.0,3.74
3.0,5.0,1.0,16.0,0.5,0.75,13.18,0.0,2.59
4.0,5.0,1.0,16.0,0.5,0.75,12.53,0.0,4.15
5.0,5.0,1.0,16.0,0.5,0.75,13.26,0.0,3.11
6.0,5.0,1.0,16.0,0.5,1.25,5.26,0.0,6.43
7.0,5.0,1.0,16.0,0.5,1.25,1.46,0.0,8.73
8.0,5.0,1.0,16.0,0.5,1.25,0.0,0.0,9.68
9.0,5.0,1.0,16.0,0.5,0.75,12.43,0.0,4.39
10.0,5.0,1.0,16.0,0.5,1.25,10.4,0.0,5.06
11.0,5.0,1.0,16.0,0.5,0.75,7.05,0.0,5.64
12.0,5.0,1.0,16.0,0.5,1.25,1.46,0.0,8.73
13.0,5.0,1.0,16.0,0.5,1.25,13.04,0.0,3.56
14.0,5.0,1.0,16.0,0.5,0.75,10.58,0.0,4.87
15.0,5.0,1.0,16.0,0.5,0.75,10.76,0.0,5.52
16.0,25.0,3.0,5.0,0.5,0.75,52.72,0.0,23.12
17.0,25.0,3.0,5.0,0.5,1.25,46.16,0.0,26.88
18.0,25.0,3.0,5.0,0.5,1.25,50.59,0.0,23.75
19.0,25.0,3.0,5.0,0.5,1.25,46.22,0.0,26.07
20.0,25.0,3.0,5.0,0.5,1.75,54.88,0.0,23.44
21.0,5.0,1.0,5.0,0.5,1.25,13.98,0.0,3.75
22.0,5.0,1.0,5.0,0.5,0.75,9.66,0.0,5.53
23.0,5.0,1.0,5.0,0.5,1.25,10.97,0.0,4.22
24.0,5.0,1.0,5.0,0.5,0.75,10.76,0.0,5.52
25.0,5.0,1.0,5.0,0.5,0.75,13.18,0.0,2.59
26.0,15.0,2.0,5.0,0.5,0.75,32.82,0.0,13.17
27.0,15.0,2.0,5.0,0.5,0.75,29.61,0.0,15.79
28.0,15.0,2.0,5.0,0.5,1.25,25.4,0.0,16.5
29.0,15.0,2.0,5.0,0.5,1.25,26.99,0.0,15.89
30.0,15.0,2.0,5.0,0.5,0.75,21.22,0.0,19.61
31.0,25.0,3.0,16.0,0.5,1.25,54.42,0.0,22.21
32.0,25.0,3.0,16.0,0.5,1.25,47.61,0.0,26.48
33.0,25.0,3.0,16.0,0.5,1.25,53.51,0.0,24.08
34.0,25.0,3.0,16.0,0.5,0.75,50.59,0.0,23.75
35.0,25.0,3.0,16.0,0.5,1.75,46.12,0.0,26.3
36.0,25.0,3.0,16.0,0.5,0.75,54.42,0.0,23.41
37.0,25.0,3.0,16.0,0.5,0.75,58.62,0.0,20.31
38.0,25.0,3.0,16.0,0.5,0.75,58.0,0.0,21.0
39.0,25.0,3.0,16.0,0.5,0.75,42.58,0.0,29.29
40.0,25.0,3.0,16.0,0.5,1.25,54.88,0.0,23.44
41.0,25.0,3.0,16.0,0.5,0.75,46.16,0.0,26.88
42.0,25.0,3.0,16.0,0.5,0.75,43.28,0.0,28.64
43.0,25.0,3.0,16.0,0.5,1.75,50.74,0.0,24.67
44.0,25.0,3.0,16.0,0.5,0.75,52.29,0.0,23.75
45.0,25.0,3.0,16.0,0.5,0.75,46.22,0.0,26.07
46.0,25.0,3.0,16.0,0.5,1.75,52.74,0.0,22.85
47.0,15.0,2.0,16.0,0.5,0.75,28.25,0.0,16.8
48.0,15.0,2.0,16.0,0.5,1.25,33.28,0.0,12.64
49.0,15.0,2.0,16.0,0.5,1.25,22.42,0.0,18.21
50.0,15.0,2.0,16.0,0.5,1.75,31.57,0.0,14.52
51.0,15.0,2.0,16.0,0.5,1.75,33.46,0.0,13.77
52.0,15.0,2.0,16.0,0.5,1.25,33.08,0.0,13.02
53.0,15.0,2.0,16.0,0.5,0.75,31.69,0.0,14.3
54.0,15.0,2.0,16.0,0.5,0.75,31.6,0.0,15.1
55.0,15.0,2.0,16.0,0.5,0.75,37.94,0.0,11.97
56.0,15.0,2.0,16.0,0.5,0.75,25.4,0.0,16.5
