,evLevel,evInd,runSize,isi,iti,riskyGain,riskyLoss,alternative
0.0,15.0,2.0,5.0,0.5,0.75,28.37,0.0,16.58
1.0,15.0,2.0,5.0,0.5,1.25,30.51,0.0,14.27
2.0,15.0,2.0,5.0,0.5,0.75,33.11,0.0,14.16
3.0,15.0,2.0,5.0,0.5,0.75,27.47,0.0,15.28
4.0,15.0,2.0,5.0,0.5,0.75,20.94,0.0,19.47
5.0,25.0,3.0,16.0,0.5,1.75,47.11,0.0,25.67
6.0,25.0,3.0,16.0,0.5,0.75,56.9,0.0,21.45
7.0,25.0,3.0,16.0,0.5,1.75,51.53,0.0,23.94
8.0,25.0,3.0,16.0,0.5,1.25,48.75,0.0,26.2
9.0,25.0,3.0,16.0,0.5,1.75,50.16,0.0,25.78
10.0,25.0,3.0,16.0,0.5,1.25,50.16,0.0,25.78
11.0,25.0,3.0,16.0,0.5,0.75,46.74,0.0,26.61
12.0,25.0,3.0,16.0,0.5,1.75,55.02,0.0,22.51
13.0,25.0,3.0,16.0,0.5,1.75,47.79,0.0,26.57
14.0,25.0,3.0,16.0,0.5,1.25,59.64,0.0,19.82
15.0,25.0,3.0,16.0,0.5,0.75,52.66,0.0,23.37
16.0,25.0,3.0,16.0,0.5,0.75,41.1,0.0,28.55
17.0,25.0,3.0,16.0,0.5,1.75,45.64,0.0,26.62
18.0,25.0,3.0,16.0,0.5,1.75,52.48,0.0,23.0
19.0,25.0,3.0,16.0,0.5,1.25,57.34,0.0,20.67
20.0,25.0,3.0,16.0,0.5,1.25,59.64,0.0,19.82
21.0,15.0,2.0,16.0,0.5,0.75,30.51,0.0,14.27
22.0,15.0,2.0,16.0,0.5,1.75,33.55,0.0,14.1
23.0,15.0,2.0,16.0,0.5,0.75,27.09,0.0,15.66
24.0,15.0,2.0,16.0,0.5,0.75,27.27,0.0,16.31
25.0,15.0,2.0,16.0,0.5,0.75,33.11,0.0,14.16
26.0,15.0,2.0,16.0,0.5,0.75,28.37,0.0,16.58
27.0,15.0,2.0,16.0,0.5,1.25,28.39,0.0,15.18
28.0,15.0,2.0,16.0,0.5,0.75,22.74,0.0,19.37
29.0,15.0,2.0,16.0,0.5,0.75,28.65,0.0,16.15
30.0,15.0,2.0,16.0,0.5,0.75,25.14,0.0,17.57
31.0,15.0,2.0,16.0,0.5,1.25,31.4,0.0,15.0
32.0,15.0,2.0,16.0,0.5,0.75,35.2,0.0,12.6
33.0,15.0,2.0,16.0,0.5,1.75,35.92,0.0,0.0
34.0,15.0,2.0,16.0,0.5,0.75,33.98,0.0,13.19
35.0,15.0,2.0,16.0,0.5,1.75,31.4,0.0,15.0
36.0,15.0,2.0,16.0,0.5,1.25,27.27,0.0,16.31
37.0,5.0,1.0,5.0,0.5,1.25,19.08,0.0,0.0
38.0,5.0,1.0,5.0,0.5,1.25,10.71,0.0,3.81
39.0,5.0,1.0,5.0,0.5,1.25,10.71,0.0,3.81
40.0,5.0,1.0,5.0,0.5,1.25,7.18,0.0,6.83
41.0,5.0,1.0,5.0,0.5,1.25,6.64,0.0,7.32
42.0,25.0,3.0,5.0,0.5,1.25,48.53,0.0,25.81
43.0,25.0,3.0,5.0,0.5,1.25,49.37,0.0,25.67
44.0,25.0,3.0,5.0,0.5,1.75,51.53,0.0,23.94
45.0,25.0,3.0,5.0,0.5,0.75,47.67,0.0,26.23
46.0,25.0,3.0,5.0,0.5,0.75,46.74,0.0,26.61
47.0,5.0,1.0,16.0,0.5,0.75,9.9,0.0,4.81
48.0,5.0,1.0,16.0,0.5,0.75,13.8,0.0,3.66
49.0,5.0,1.0,16.0,0.5,1.25,10.71,0.0,3.81
50.0,5.0,1.0,16.0,0.5,1.25,7.97,0.0,6.38
51.0,5.0,1.0,16.0,0.5,0.75,2.96,0.0,9.48
52.0,5.0,1.0,16.0,0.5,1.75,10.71,0.0,3.81
53.0,5.0,1.0,16.0,0.5,0.75,1.56,0.0,9.78
54.0,5.0,1.0,16.0,0.5,1.25,6.88,0.0,6.4
55.0,5.0,1.0,16.0,0.5,0.75,13.78,0.0,3.37
56.0,5.0,1.0,16.0,0.5,0.75,6.51,0.0,5.93
57.0,5.0,1.0,16.0,0.5,0.75,11.68,0.0,5.14
58.0,5.0,1.0,16.0,0.5,0.75,8.84,0.0,4.84
59.0,5.0,1.0,16.0,0.5,1.25,6.64,0.0,7.32
60.0,5.0,1.0,16.0,0.5,0.75,12.83,0.0,4.3
61.0,5.0,1.0,16.0,0.5,1.75,6.64,0.0,7.32
62.0,5.0,1.0,16.0,0.5,0.75,11.68,0.0,5.14
63.0,15.0,2.0,5.0,0.5,1.25,31.4,0.0,15.0
64.0,15.0,2.0,5.0,0.5,0.75,30.51,0.0,14.27
65.0,15.0,2.0,5.0,0.5,0.75,30.1,0.0,15.19
66.0,15.0,2.0,5.0,0.5,1.25,28.37,0.0,16.58
67.0,15.0,2.0,5.0,0.5,0.75,33.18,0.0,13.07
68.0,25.0,3.0,16.0,0.5,1.25,48.53,0.0,25.81
69.0,25.0,3.0,16.0,0.5,0.75,42.6,0.0,28.3
70.0,25.0,3.0,16.0,0.5,1.75,41.1,0.0,28.55
71.0,25.0,3.0,16.0,0.5,0.75,40.54,0.0,30.27
72.0,25.0,3.0,16.0,0.5,0.75,52.05,0.0,24.76
73.0,25.0,3.0,16.0,0.5,0.75,51.89,0.0,23.83
74.0,25.0,3.0,16.0,0.5,0.75,47.67,0.0,26.23
75.0,25.0,3.0,16.0,0.5,1.25,51.53,0.0,23.94
76.0,25.0,3.0,16.0,0.5,0.75,46.74,0.0,26.61
77.0,25.0,3.0,16.0,0.5,1.25,50.99,0.0,23.95
78.0,25.0,3.0,16.0,0.5,1.25,52.48,0.0,23.0
79.0,25.0,3.0,16.0,0.5,0.75,56.9,0.0,0.0
80.0,25.0,3.0,16.0,0.5,0.75,58.96,0.0,20.48
81.0,25.0,3.0,16.0,0.5,0.75,53.61,0.0,24.13
82.0,25.0,3.0,16.0,0.5,1.75,57.34,0.0,20.67
83.0,25.0,3.0,16.0,0.5,0.75,58.96,0.0,20.48
84.0,15.0,2.0,16.0,0.5,0.75,28.37,0.0,16.58
85.0,15.0,2.0,16.0,0.5,0.75,29.84,0.0,15.62
86.0,15.0,2.0,16.0,0.5,0.75,33.98,0.0,13.19
87.0,15.0,2.0,16.0,0.5,0.75,25.92,0.0,16.2
88.0,15.0,2.0,16.0,0.5,1.75,31.81,0.0,14.64
89.0,15.0,2.0,16.0,0.5,0.75,22.74,0.0,19.37
90.0,15.0,2.0,16.0,0.5,1.75,39.12,0.0,9.56
91.0,15.0,2.0,16.0,0.5,0.75,28.09,0.0,15.31
92.0,15.0,2.0,16.0,0.5,0.75,33.18,0.0,13.07
93.0,15.0,2.0,16.0,0.5,1.25,27.27,0.0,16.31
94.0,15.0,2.0,16.0,0.5,0.75,20.94,0.0,19.47
95.0,15.0,2.0,16.0,0.5,0.75,38.86,0.0,11.43
96.0,15.0,2.0,16.0,0.5,0.75,28.65,0.0,16.15
97.0,15.0,2.0,16.0,0.5,1.25,30.72,0.0,14.94
98.0,15.0,2.0,16.0,0.5,1.75,30.72,0.0,14.94
99.0,15.0,2.0,16.0,0.5,0.75,23.44,0.0,18.72
100.0,5.0,1.0,5.0,0.5,1.25,18.12,0.0,0.06
101.0,5.0,1.0,5.0,0.5,1.75,18.12,0.0,0.06
102.0,5.0,1.0,5.0,0.5,1.25,10.71,0.0,3.81
103.0,5.0,1.0,5.0,0.5,0.75,16.94,0.0,2.47
104.0,5.0,1.0,5.0,0.5,1.25,5.48,0.0,6.26
105.0,25.0,3.0,5.0,0.5,0.75,50.58,0.0,24.87
106.0,25.0,3.0,5.0,0.5,1.25,40.54,0.0,30.27
107.0,25.0,3.0,5.0,0.5,1.75,51.69,0.0,24.86
108.0,25.0,3.0,5.0,0.5,0.75,53.61,0.0,24.13
109.0,25.0,3.0,5.0,0.5,1.25,57.34,0.0,20.67
110.0,5.0,1.0,16.0,0.5,1.25,7.18,0.0,6.83
111.0,5.0,1.0,16.0,0.5,0.75,7.97,0.0,6.38
112.0,5.0,1.0,16.0,0.5,1.75,8.32,0.0,4.86
113.0,5.0,1.0,16.0,0.5,1.75,8.57,0.0,5.27
114.0,5.0,1.0,16.0,0.5,1.25,2.96,0.0,9.48
115.0,5.0,1.0,16.0,0.5,1.25,18.12,0.0,0.06
116.0,5.0,1.0,16.0,0.5,0.75,12.83,0.0,4.3
117.0,5.0,1.0,16.0,0.5,1.75,10.71,0.0,3.81
118.0,5.0,1.0,16.0,0.5,0.75,14.66,0.0,3.53
119.0,5.0,1.0,16.0,0.5,0.75,7.59,0.0,5.91
120.0,5.0,1.0,16.0,0.5,1.75,13.8,0.0,3.66
121.0,5.0,1.0,16.0,0.5,1.25,6.88,0.0,6.4
122.0,5.0,1.0,16.0,0.5,0.75,6.51,0.0,5.93
123.0,5.0,1.0,16.0,0.5,1.75,1.56,0.0,9.78
124.0,5.0,1.0,16.0,0.5,0.75,5.48,0.0,6.26
125.0,5.0,1.0,16.0,0.5,1.25,6.51,0.0,5.93
126.0,15.0,2.0,5.0,0.5,0.75,32.46,0.0,12.99
127.0,15.0,2.0,5.0,0.5,1.75,31.4,0.0,15.0
128.0,15.0,2.0,5.0,0.5,0.75,39.12,0.0,9.56
129.0,15.0,2.0,5.0,0.5,0.75,25.14,0.0,17.57
130.0,15.0,2.0,5.0,0.5,1.75,28.65,0.0,16.15
