,riskyGain,riskyLoss,safe,RT,loc,response,choice,outcome,iti,itiExtra,stimDispStart,choiceTimeStart,isiStart,outcomeDispStart,itiStart,trial
1,53.17,0,27.89,1.2355443330015987,1,"[['n', 1.2355443330015987]]",0,27.89,1,2.7644556669984013,0.017541916997288354,[],1.2581205000024056,1.7626093330036383,2.7637089999916498,1
2,6.45,0,5.1,1.0564732499915408,2,"[['v', 1.0564732499915408]]",0,5.1,1.5,2.943526750008459,6.519074333002209,[],7.578192499990109,8.082184375001816,9.083313708004425,2
